feature,mean_importance
all_restaurant,-0.0006903736720869191
lag_b2b_hardware,-0.0002686695400047068
lag_all_salon,-0.0001870076368397644
all_club,-0.00016772964681570633
lag_armed_forces_branch,-0.00014110085966807518
all_store,-0.00013685605356024145
lag_all_pub,-0.0001251186087375178
lag_palace,-0.00011056624881606858
lag_all_tinting,-0.00010357281052508771
lag_all_loans,-0.00010151437073020464
lag_num_buildings,-8.342086888531996e-05
num_buildings,-7.46940614882452e-05
lag_population,-7.219887225179411e-05
hotel,-4.754856769398907e-05
lawyer,-3.964108184180137e-05
lag_restaurant_wholesale,-3.9002131700682786e-05
all_estate,-2.950083741769527e-05
lag_all_stadium,-1.9625346191287642e-05
lag_supermarket,-1.5957497415541864e-05
lag_all_arena,-1.0149309616058754e-05
attractions_and_activities,-9.021588117297252e-06
lag_all_photography,-6.399419735181322e-06
lag_retail_lsoa_area_ratio,-5.485093821733234e-06
lag_all_bookstore,0.0
lag_all_law,0.0
lag_all_dealers,0.0
lag_b2b_furniture_and_housewares,0.0
lag_bookkeeper,0.0
lag_books_mags_music_and_video,0.0
lag_boutique,0.0
lag_bookbinding,0.0
lag_bowling_alley,0.0
lag_all_class,0.0
lag_all_gym,0.0
lag_brasserie,0.0
lag_bridge,0.0
lag_all_brokers,0.0
lag_bubble_tea,0.0
lag_all_camp,0.0
lag_all_distribution,0.0
lag_all_offices,0.0
lag_b2b_rubber_and_plastics,0.0
lag_banks,0.0
lag_barber,0.0
lag_all_classes,0.0
lag_bartender,0.0
lag_all_field,0.0
lag_all_union,0.0
lag_bakery,0.0
lag_all_court,0.0
lag_all_remodeling,0.0
lag_all_charter,0.0
lag_bathtub_and_sink_repairs,0.0
lag_baby_gear_and_furniture,0.0
lag_bed_and_breakfast,0.0
lag_b2b_textiles,0.0
lag_all_temple,0.0
lag_b2b_science_and_technology,0.0
lag_all_garden,0.0
lag_beer_wine_and_spirits,0.0
lag_bike_repair_maintenance,0.0
lag_all_hall,0.0
lag_beach,0.0
lag_builders,0.0
lag_all_management,0.0
lag_all_business,0.0
lag_christmas_trees,0.0
lag_cinema,0.0
lag_circus,0.0
lag_all_engineers,0.0
lag_civil_rights_lawyers,0.0
lag_all_laboratories,0.0
lag_coach_bus,0.0
lag_coal_and_coke,0.0
lag_all_supplies,0.0
lag_all_agencies,0.0
lag_commercial_industrial,0.0
lag_choir,0.0
lag_commercial_printer,0.0
lag_commercial_refrigeration,0.0
lag_all_artist,0.0
lag_community_services_non_profits,0.0
lag_computer_coaching,0.0
lag_all_wholesaler,0.0
lag_all_dentist,0.0
lag_counseling_and_mental_health,0.0
lag_courthouse,0.0
lag_all_space,0.0
lag_cricket_ground,0.0
lag_all_farm,0.0
lag_all_estate,0.0
lag_all_station,0.0
lag_chiropractor,0.0
lag_all_organization,0.0
lag_all_advertising,0.0
lag_business_consulting,0.0
lag_all_supply,0.0
lag_b2b_food_products,0.0
lag_all_schools,0.0
lag_business_signage,0.0
lag_all_transportation,0.0
lag_all_cafe,0.0
lag_cafetaria,0.0
lag_campground,0.0
lag_all_building,0.0
lag_chimney_sweep,0.0
lag_canal,0.0
lag_all_buyer,0.0
lag_all_inspector,0.0
lag_all_installation,0.0
lag_all_surgeon,0.0
lag_carpenter,0.0
lag_all_cleaning,0.0
lag_casino,0.0
lag_caterer,0.0
lag_cave,0.0
lag_all_office,0.0
lag_all_clothing,0.0
lag_all_broker,0.0
lag_all_mining,0.0
lag_auto_manufacturers_and_distributors,0.0
lag_automotive,0.0
university_housing,0.0
urologist,0.0
used_vintage_and_consignment,0.0
veterinarian,0.0
videographer,0.0
warehouses,0.0
waterproofing,0.0
waxing,0.0
wildlife_sanctuary,0.0
wills_trusts_and_probate,0.0
lag_wills_trusts_and_probate,0.0
lag_all_avg_building_area,0.0
lag_all_lsoa_area_ratio,0.0
lag_all_total_area,0.0
lag_residential_avg_building_area,0.0
lag_residential_lsoa_area_ratio,0.0
lag_residential_total_area,0.0
lag_commercial_avg_building_area,0.0
lag_commercial_lsoa_area_ratio,0.0
lag_office_avg_building_area,0.0
lag_office_lsoa_area_ratio,0.0
lag_retail_avg_building_area,0.0
lag_retail_total_area,0.0
trusts,0.0
all_agents,0.0
travel,0.0
trains,0.0
sewing_and_alterations,0.0
all_therapist,0.0
shades_and_blinds,0.0
shutters,0.0
sign_making,0.0
skilled_nursing,0.0
spas,0.0
steakhouse,0.0
steel_fabricators,0.0
stone_and_masonry,0.0
structural_engineer,0.0
lag_all_service,0.0
structure_and_geography,0.0
superstore,0.0
swimming_pool,0.0
tattoo,0.0
teeth_whitening,0.0
telecommunications,0.0
television_service_providers,0.0
theaters_and_performance_venues,0.0
theatre,0.0
theatrical_productions,0.0
ticket_sales,0.0
tiling,0.0
studio_taping,0.0
