feature,mean_importance
lag_all_accommodation,-5.5971813631642405e-08
airport_terminal,0.0
lag_reflexology,0.0
lag_courthouse,0.0
boutique,0.0
wildlife_sanctuary,0.0
vitamins_and_supplements,0.0
lag_all_dealer,0.0
law_enforcement,0.0
lag_all_department,0.0
osteopath,0.0
lag_orthodontist,0.0
art_gallery,0.0
public_relations,0.0
lag_orthopedist,0.0
lag_all_bar,0.0
lag_all_washing,0.0
lag_all_plaza,0.0
commercial_total_area,0.0
restaurant_wholesale,0.0
river,0.0
lag_all_vehicles,0.0
dog_walkers,0.0
lag_all_tours,0.0
banks,1.3552527156068806e-21
lodge,1.3552527156068806e-21
library,1.3552527156068806e-21
lag_auto_customization,1.3552527156068806e-21
chocolatier,1.3552527156068806e-21
christmas_trees,1.3552527156068806e-21
all_field,1.3552527156068806e-21
all_union,1.3552527156068806e-21
distillery,1.3552527156068806e-21
all_exporter,1.3552527156068806e-21
lag_nutritionist,1.3552527156068806e-21
lag_atms,1.3552527156068806e-21
metal_fabricator,1.3552527156068806e-21
lag_all_care,1.3552527156068806e-21
lag_outdoor_gear,1.3552527156068806e-21
lag_arts_and_crafts,1.3552527156068806e-21
all_security,1.3552527156068806e-21
movers,1.3552527156068806e-21
all_venue,1.3552527156068806e-21
lag_architecture,1.3552527156068806e-21
marina,1.3552527156068806e-21
lag_all_facility,1.3552527156068806e-21
kiosk,1.3552527156068806e-21
doner_kebab,1.3552527156068806e-21
lag_hospice,1.3552527156068806e-21
cabin,1.3552527156068806e-21
all_transportation,1.3552527156068806e-21
lag_all_sitting,1.3552527156068806e-21
all_schools,1.3552527156068806e-21
all_installation,1.3552527156068806e-21
lag_all_camp,1.3552527156068806e-21
all_home,1.3552527156068806e-21
lag_bookkeeper,1.3552527156068806e-21
lag_all_station,1.3552527156068806e-21
lag_all_advertising,1.3552527156068806e-21
lag_all_charter,1.3552527156068806e-21
lag_all_offices,1.3552527156068806e-21
bridge,1.3552527156068806e-21
lag_monument,1.3552527156068806e-21
all_gym,1.3552527156068806e-21
lag_all_rentals,1.3552527156068806e-21
lag_business_signage,1.3552527156068806e-21
all_photography,1.3552527156068806e-21
furniture_reupholstery,1.3552527156068806e-21
lag_barber,1.3552527156068806e-21
lag_all_law,1.3552527156068806e-21
lag_magician,1.3552527156068806e-21
lag_bakery,1.3552527156068806e-21
lag_all_counseling,1.3552527156068806e-21
lag_matchmaker,1.3552527156068806e-21
lag_media_news_website,1.3552527156068806e-21
coal_and_coke,1.3552527156068806e-21
all_spa,1.3552527156068806e-21
lag_all_track,1.3552527156068806e-21
lag_kids_recreation_and_party,1.3552527156068806e-21
all_shop,1.3552527156068806e-21
canal,1.3552527156068806e-21
all_rental,1.3552527156068806e-21
lag_retail,1.3552527156068806e-21
performing_arts,1.3552527156068806e-21
lag_trusts,1.3552527156068806e-21
lag_roofing,1.3552527156068806e-21
all_testing,1.3552527156068806e-21
all_businesses,1.3552527156068806e-21
all_zoo,1.3552527156068806e-21
airlines,1.3552527156068806e-21
quay,1.3552527156068806e-21
lag_shades_and_blinds,1.3552527156068806e-21
electronics,1.3552527156068806e-21
lag_endocrinologist,1.3552527156068806e-21
plasterer,1.3552527156068806e-21
all_production,1.3552527156068806e-21
lag_all_space,1.3552527156068806e-21
lag_cottage,1.3552527156068806e-21
lag_all_institute,1.3552527156068806e-21
all_restaurant,1.3552527156068806e-21
podiatrist,1.3552527156068806e-21
all_store,1.3552527156068806e-21
lag_television_service_providers,1.3552527156068806e-21
accountant,1.3552527156068806e-21
lag_wills_trusts_and_probate,1.3552527156068806e-21
private_equity_firm,1.3552527156068806e-21
all_church,1.3552527156068806e-21
lag_exporters,1.3552527156068806e-21
lag_all_church,1.3552527156068806e-21
skilled_nursing,1.3552527156068806e-21
family_practice,1.3552527156068806e-21
lag_all_contractors,1.3552527156068806e-21
lag_all_zoo,1.3552527156068806e-21
oil_and_gas,1.3552527156068806e-21
attractions_and_activities,1.3552527156068806e-21
lag_delicatessen,1.3552527156068806e-21
lag_dietitian,1.3552527156068806e-21
lag_plasterer,1.3552527156068806e-21
lag_all_billiards,1.3552527156068806e-21
lag_all_agency,1.3552527156068806e-21
retail,1.3552527156068806e-21
lag_dog_walkers,1.3552527156068806e-21
all_studio,1.3552527156068806e-21
diner,1.3552527156068806e-21
record_label,1.3552527156068806e-21
all_apartments,1.3552527156068806e-21
lag_airport_shuttles,1.3552527156068806e-21
orthopedist,1.3552527156068806e-21
lag_commercial_industrial,1.3552527156068806e-21
lag_cricket_ground,2.7105054312137612e-21
lag_all_brokers,2.7105054312137612e-21
general_festivals,2.7105054312137612e-21
lag_all_management,2.7105054312137612e-21
lag_all_wear,2.7105054312137612e-21
lag_all_temple,2.7105054312137612e-21
all_removal,2.7105054312137612e-21
ear_nose_and_throat,2.7105054312137612e-21
lag_currency_exchange,2.7105054312137612e-21
hair_extensions,2.7105054312137612e-21
lag_builders,2.7105054312137612e-21
lag_all_wholesaler,2.7105054312137612e-21
gastropub,2.7105054312137612e-21
lag_brewery,2.7105054312137612e-21
fertility,2.7105054312137612e-21
financial_advising,2.7105054312137612e-21
lag_cinema,2.7105054312137612e-21
all_department,2.7105054312137612e-21
all_fair,2.7105054312137612e-21
eyewear_and_optician,2.7105054312137612e-21
lag_all_laboratories,2.7105054312137612e-21
lag_all_organization,2.7105054312137612e-21
all_food,2.7105054312137612e-21
embroidery_and_crochet,2.7105054312137612e-21
lag_college_university,2.7105054312137612e-21
lag_cave,2.7105054312137612e-21
all_massage,2.7105054312137612e-21
lag_caterer,2.7105054312137612e-21
lag_casino,2.7105054312137612e-21
engraving,2.7105054312137612e-21
lag_christmas_trees,2.7105054312137612e-21
furniture_assembly,2.7105054312137612e-21
all_manufacturers,2.7105054312137612e-21
lag_all_installation,2.7105054312137612e-21
lag_all_buyer,2.7105054312137612e-21
