feature,mean_importance
accountant,-3.5839148263155463e-06
residential_total_area,-1.332722125506466e-06
acupuncture,-1.3273554457257783e-06
key_and_locksmith,-1.3223931559548148e-06
all_total_area,-5.739199466532314e-07
retail,-3.8078410829074625e-07
lag_retail,-3.5098921761496727e-07
lag_all_insurance,-2.83826846122519e-07
all_arena,-2.548367276982783e-07
lag_all_resort,-2.3066491368650168e-07
all_store,-2.272994372953276e-07
lag_residential_total_area,-2.142196002384117e-07
all_center,-1.6211781697817068e-07
commercial_total_area,-1.595596970441844e-07
lag_all_store,-1.569658100976747e-07
spas,-1.423587587103339e-07
shopping,-1.3690737519073115e-07
lag_all_total_area,-1.3499094162034657e-07
residential_avg_building_area,-1.2394733066123473e-07
lag_all_photography,-1.208997710725417e-07
lag_commercial_avg_building_area,-1.1784761321330503e-07
lag_all_bookstore,-1.118128694828325e-07
lag_num_places,-1.1169212661520502e-07
lag_all_company,-9.641692926121007e-08
all_agency,-9.629787101839365e-08
lag_all_class,-8.59895413022184e-08
lag_num_buildings,-8.28129991285937e-08
lag_delicatessen,-8.2415189333102e-08
lag_all_law,-7.49987368047026e-08
lag_population,-7.07599999985397e-08
home_developer,-6.833898838959406e-08
lag_bed_and_breakfast,-5.979587878026457e-08
lag_all_design,-5.8962714374893737e-08
general_dentistry,-5.636006428831153e-08
all_design,-5.0016189523141815e-08
all_dealer,-4.4718095657838005e-08
lag_all_entertainment,-4.3642318296149946e-08
financial_advising,-4.021663932047572e-08
lag_all_supplies,-3.920483995154802e-08
lag_all_avg_building_area,-3.8570913085968197e-08
lag_all_club,-3.716844156052314e-08
supermarket,-3.5642498873489944e-08
population,-3.554212411611263e-08
all_garden,-3.363966304513336e-08
barber,-3.34426633927026e-08
lag_all_production,-3.334314950228026e-08
residential_lsoa_area_ratio,-3.255972770154652e-08
all_union,-3.234720546643906e-08
lag_office_avg_building_area,-3.221744636202283e-08
lag_fashion,-3.1824263025225365e-08
lag_retail_total_area,-3.181295501092124e-08
lag_all_center,-3.098308163077185e-08
lag_all_lounge,-2.877477850861778e-08
embassy,-2.776023324428179e-08
lag_art_gallery,-2.6936247439151934e-08
lag_all_rentals,-2.6244104942517704e-08
luggage_storage,-2.5497532020867117e-08
lag_bubble_tea,-2.4972896873364695e-08
lag_all_institute,-2.435382531648623e-08
all_organization,-2.3524079907532767e-08
all_distribution,-2.3523515745835264e-08
lag_college_university,-2.2177478898664066e-08
lag_funeral_services_and_cemeteries,-2.0702884562988442e-08
office_avg_building_area,-2.0537981248238423e-08
lag_books_mags_music_and_video,-2.006911753098077e-08
land_surveying,-1.941626344383518e-08
public_relations,-1.9014658053409754e-08
lag_supermarket,-1.7377088955890676e-08
all_management,-1.737250124255428e-08
lag_all_arena,-1.6302614040295763e-08
lag_all_repair,-1.618685688739021e-08
lag_rock_climbing_spot,-1.5906340920102254e-08
lag_casino,-1.5608398577605995e-08
lag_all_service,-1.4855550580219145e-08
lag_opera_and_ballet,-1.3944083759829803e-08
attractions_and_activities,-1.3939839562542889e-08
lag_podiatrist,-1.3637838708471318e-08
lag_spas,-1.328262293916443e-08
all_room,-1.3134293208681009e-08
lag_all_advertising,-1.2353234290005251e-08
lag_psychic_medium,-1.1988687551199779e-08
lag_all_publisher,-1.1901199510719502e-08
lag_currency_exchange,-1.1448947513412297e-08
lag_doctor,-1.1409588176512579e-08
lag_all_classes,-1.1342453521011774e-08
lag_shopping,-1.1311550495639267e-08
lawyer,-1.0968572867182491e-08
lag_commercial_printer,-1.0836438495633755e-08
all_institute,-1.0485229942001602e-08
lag_matchmaker,-1.0400543909531166e-08
all_law,-1.0385806477160244e-08
all_security,-1.0188157268368634e-08
lag_all_businesses,-9.814437423782334e-09
lag_metal_fabricator,-9.577784692866436e-09
books_mags_music_and_video,-9.563500099300923e-09
lag_all_gym,-9.292999779899757e-09
lag_beer_wine_and_spirits,-9.144403988238796e-09
lag_coal_and_coke,-8.70289726342564e-09
lag_electronics,-8.655562046676226e-09
all_church,-8.601487948184145e-09
lag_all_media,-8.411295067238273e-09
lag_all_coach,-8.374712912373787e-09
lag_all_laboratories,-8.34709863360109e-09
lag_all_dealer,-8.139061014825893e-09
lag_all_therapy,-8.118183337222675e-09
lag_barber,-7.769062709250796e-09
lag_all_church,-7.667459563752009e-09
lag_all_training,-6.9200829615011615e-09
electronics,-6.916363979990068e-09
airport_terminal,-6.862370661590888e-09
plumbing,-6.791186411513853e-09
lag_b2b_food_products,-6.726081969298946e-09
lag_health_and_medical,-6.12616554681374e-09
podiatrist,-6.062492741637027e-09
lag_automotive,-6.018164731393994e-09
all_remodeling,-5.7946740102143325e-09
lag_ethical_grocery,-5.785450321233224e-09
all_spa,-5.515703567111354e-09
lag_all_trainer,-5.49344710678646e-09
lag_all_cafe,-5.4526116707338945e-09
lag_all_food,-5.338784903540731e-09
lag_wildlife_sanctuary,-5.3303620081951265e-09
lag_library,-5.296266416930521e-09
