feature,mean_importance
all_broker,-1.7099422839061718e-06
all_therapy,-1.6444184607619834e-06
hostel,-9.846356202285535e-07
bakery,-8.812421078601752e-07
lag_bubble_tea,-8.631123272497129e-07
steakhouse,-8.471729617273548e-07
security_systems,-8.153470736611611e-07
public_relations,-6.527193629407904e-07
lag_commercial_total_area,-5.913770771922519e-07
all_manufacturers,-4.961723493341268e-07
lag_all_classes,-4.752896269989064e-07
all_lounge,-4.747321729816657e-07
travel,-4.6139016927843673e-07
desserts,-4.4862375860618784e-07
real_estate_investment,-4.083234014689809e-07
kitchen_and_bath,-3.803312613612843e-07
all_coach,-3.7361932263388527e-07
lag_all_range,-3.560490300002963e-07
lag_computer_coaching,-3.3826669366960987e-07
lag_all_class,-3.295688050900978e-07
residential_total_area,-2.883564165864815e-07
lag_all_contractor,-2.862441472152821e-07
all_total_area,-2.7926231281449184e-07
all_museum,-2.5806070368797936e-07
lag_residential_lsoa_area_ratio,-2.4737076190952516e-07
lag_warehouses,-2.3994311486147913e-07
all_classes,-2.045170937720357e-07
lag_commercial_avg_building_area,-2.0311190330217423e-07
business_consulting,-2.007867763218781e-07
lawyer,-2.0060795583320165e-07
all_room,-1.8045779008673222e-07
all_building,-1.7152375553022045e-07
lag_all_total_area,-1.6884659405656323e-07
lag_all_preschool,-1.6730768743403308e-07
lag_retail_total_area,-1.5288912788870278e-07
lag_all_schools,-1.5156611331149712e-07
all_dealer,-1.4962580479172092e-07
b2b_science_and_technology,-1.4480527110303956e-07
lag_college_university,-1.412063454151526e-07
lag_all_repair,-1.383030462804056e-07
key_and_locksmith,-1.3320864049549617e-07
accountant,-1.3126623434371804e-07
lag_plumbing,-1.3076327362274328e-07
lag_all_photography,-1.2311936870007394e-07
lag_retail_avg_building_area,-1.1840257186053808e-07
lag_airport,-1.1591909641282252e-07
all_cafe,-1.1378991798862424e-07
lag_brewery,-1.1289129923263872e-07
eat_and_drink,-1.1169366981763067e-07
all_store,-1.0883307190717034e-07
lag_shopping,-1.0688981187875756e-07
lag_all_supplies,-9.177157017961592e-08
lag_all_service,-8.971033814951523e-08
all_supply,-8.65546759504953e-08
lag_financial_advising,-8.476447260317315e-08
monument,-8.235047438514534e-08
lag_car_wash,-8.106283909090376e-08
telecommunications,-7.981884240672982e-08
all_apartments,-7.782628681051839e-08
lag_all_center,-7.518921369442416e-08
lag_supermarket,-7.437063163466811e-08
all_garden,-7.289226405368579e-08
lag_cottage,-7.199728563671792e-08
lag_all_installation,-6.82866355409238e-08
lag_all_agents,-6.250418972110981e-08
office_lsoa_area_ratio,-5.937226131104748e-08
lag_all_association,-5.727588160232345e-08
all_office,-5.61883514793712e-08
lag_monument,-5.3945912001422635e-08
lag_distillery,-5.142127679340651e-08
college_university,-4.881352260814034e-08
lag_population,-4.6231341798192596e-08
lag_all_wear,-4.524321216599217e-08
lag_all_dealer,-4.5193746952911536e-08
lag_b2b_textiles,-4.351732729426436e-08
lag_all_manufacturer,-4.270991647941887e-08
lag_embassy,-4.2060535594920535e-08
lag_all_plaza,-4.14499774370312e-08
lag_art_gallery,-4.133093856052673e-08
all_clothing,-4.094379961523838e-08
lag_land_surveying,-4.072558153007575e-08
lag_dermatologist,-3.898966615221034e-08
supermarket,-3.822962391108217e-08
screen_printing_t_shirt_printing,-3.5122143705090314e-08
lag_auditorium,-3.4639904958211495e-08
shopping,-3.3970626337902255e-08
doctor,-3.351773724217795e-08
lag_all_organizations,-3.3147341886314694e-08
num_buildings,-3.153363340652529e-08
hair_replacement,-2.987518941593504e-08
