feature,mean_importance
num_places,-3.676714586520947e-07
all_bar,-1.3511926970870614e-07
lag_all_consultant,-6.929690701277112e-08
lag_all_office,-6.796974108477387e-08
lag_num_places,-5.300405186413494e-08
lag_all_hospital,-5.2624224669633e-08
lag_all_psychologist,-4.210823349679331e-08
lag_monument,-3.971273070779008e-08
all_designer,-3.7571297537620273e-08
lag_theatre,-3.71840490494694e-08
lag_all_tours,-3.3473246764598513e-08
all_education,-3.2688372430854447e-08
lag_all_association,-3.194378715113357e-08
lag_all_wear,-3.13723149341002e-08
lag_commercial_lsoa_area_ratio,-2.902537641433239e-08
lag_car_wash,-2.7955763223324438e-08
all_salon,-2.4455263345080764e-08
lag_business_consulting,-2.097443761383492e-08
theatre,-2.0967773164876677e-08
all_pub,-1.710765014208688e-08
all_shop,-9.648627460100357e-09
public_service_and_government,-9.153919614656993e-09
lag_all_clothing,-7.207336560866809e-09
all_center,-2.2679179356581998e-09
lag_all_manufacturer,-1.7474711496738765e-09
lag_all_store,-1.7471848366378797e-09
lag_palace,-1.16282583176609e-09
all_design,-4.4298022702261854e-10
lag_all_apartments,-1.7872056951360018e-10
travel,-2.7105054312137612e-21
lag_all_charter,-2.7105054312137612e-21
lag_b2b_apparel,-2.7105054312137612e-21
lag_all_therapy,-2.7105054312137612e-21
college_university,-2.7105054312137612e-21
retail_avg_building_area,-2.7105054312137612e-21
civil_rights_lawyers,-2.7105054312137612e-21
screen_printing_t_shirt_printing,-2.0328790734103207e-21
lag_all_contractor,-2.0328790734103207e-21
automobile_leasing,-2.0328790734103207e-21
lag_diagnostic_imaging,-2.0328790734103207e-21
population,-2.0328790734103207e-21
firework_retailer,-2.0328790734103207e-21
all_food,-2.0328790734103207e-21
lag_ethical_grocery,-1.3552527156068806e-21
lag_fruits_and_vegetables,-1.3552527156068806e-21
carpenter,-1.3552527156068806e-21
all_mining,-1.3552527156068806e-21
lag_all_stores,-1.3552527156068806e-21
all_consultants,-1.3552527156068806e-21
all_counseling,-1.3552527156068806e-21
lag_data_recovery,-1.3552527156068806e-21
all_planning,-1.3552527156068806e-21
all_gym,-1.3552527156068806e-21
casino,-1.3552527156068806e-21
builders,-1.3552527156068806e-21
lag_all_security,-1.3552527156068806e-21
lag_dietitian,-1.3552527156068806e-21
all_temple,-1.3552527156068806e-21
lag_chemical_plant,-1.3552527156068806e-21
lag_kitchen_and_bath,-1.3552527156068806e-21
b2b_rubber_and_plastics,-1.3552527156068806e-21
lag_casino,-1.3552527156068806e-21
lag_carpenter,-1.3552527156068806e-21
all_artist,-1.3552527156068806e-21
lag_hair_stylist,-1.3552527156068806e-21
lag_all_inspector,-1.3552527156068806e-21
lag_chocolatier,-1.3552527156068806e-21
lag_all_media,-1.3552527156068806e-21
chocolatier,-1.3552527156068806e-21
lag_housing_authorities,-1.3552527156068806e-21
lag_all_transportation,-1.3552527156068806e-21
lag_ice_cream_and_frozen_yoghurt,-1.3552527156068806e-21
chimney_sweep,-1.3552527156068806e-21
lag_general_dentistry,-1.3552527156068806e-21
lag_business_signage,-1.3552527156068806e-21
lag_civil_rights_lawyers,-1.3552527156068806e-21
all_union,-1.3552527156068806e-21
cave,-1.3552527156068806e-21
lag_all_pub,-1.3552527156068806e-21
baby_gear_and_furniture,-1.3552527156068806e-21
dog_walkers,-1.3552527156068806e-21
lag_all_camp,-1.3552527156068806e-21
electrician,-1.3552527156068806e-21
lag_canal,-1.3552527156068806e-21
cinema,-1.3552527156068806e-21
lag_arcade,-1.3552527156068806e-21
ticket_sales,-1.3552527156068806e-21
importers,-1.3552527156068806e-21
all_manufacturer,-1.3552527156068806e-21
tattoo,-1.3552527156068806e-21
lag_architecture,-1.3552527156068806e-21
spray_tanning,-1.3552527156068806e-21
lag_sewing_and_alterations,-1.3552527156068806e-21
all_store,-1.3552527156068806e-21
kitchen_and_bath,-1.3552527156068806e-21
active_life,-1.3552527156068806e-21
lag_sign_making,-1.3552527156068806e-21
accountant,-1.3552527156068806e-21
laundromat,-1.3552527156068806e-21
all_goods,-1.3552527156068806e-21
all_resort,-1.3552527156068806e-21
all_psychologist,-1.3552527156068806e-21
media_news_website,-1.3552527156068806e-21
private_tutor,-1.3552527156068806e-21
playground,-1.3552527156068806e-21
motor_freight_trucking,-1.3552527156068806e-21
personal_assistant,-1.3552527156068806e-21
lag_warehouses,-1.3552527156068806e-21
orthodontist,-1.3552527156068806e-21
lag_private_investigation,-1.3552527156068806e-21
airport_terminal,-1.3552527156068806e-21
lag_all_testing,-1.3552527156068806e-21
lag_permanent_makeup,-1.3552527156068806e-21
audiologist,-1.3552527156068806e-21
lag_commercial_avg_building_area,-1.3552527156068806e-21
aromatherapy,-1.3552527156068806e-21
hematology,-1.3552527156068806e-21
all_supply,-1.3552527156068806e-21
lag_all_league,-1.3552527156068806e-21
art_gallery,-1.3552527156068806e-21
lag_all_center,-1.3552527156068806e-21
lag_retail_total_area,-1.3552527156068806e-21
lag_all_medicine,-1.3552527156068806e-21
gelato,-1.3552527156068806e-21
real_estate_investment,-6.776263578034403e-22
marina,-6.776263578034403e-22
