feature,mean_importance
lag_hotel,-1.9495410010061127e-06
all_agency,-7.825131343277197e-07
all_bookstore,-7.319122068045846e-07
shopping,-7.077952347965896e-07
all_tours,-6.135148581599438e-07
all_restaurant,-5.059954603798373e-07
lag_all_advertising,-4.7303346889545467e-07
lag_all_museum,-4.426363427453389e-07
all_clothing,-4.203454043605028e-07
commercial_total_area,-4.018099935841613e-07
all_cleaning,-3.7925593268094713e-07
bakery,-3.61564353348602e-07
lag_all_restaurant,-3.5023501884335436e-07
lag_hair_replacement,-3.390780966839625e-07
lag_college_university,-2.8404225305605004e-07
lag_retail,-2.7665734519111943e-07
lag_all_salon,-2.644123295124514e-07
steakhouse,-2.2986194898558405e-07
lag_retail_total_area,-2.2841108221294617e-07
lag_all_media,-2.075659886850847e-07
all_arena,-1.993498380140101e-07
lag_supermarket,-1.883747933736587e-07
monument,-1.8788039599622948e-07
lag_all_production,-1.8613010303317668e-07
lag_fashion,-1.823968367552269e-07
lag_all_estate,-1.8231268745274036e-07
lag_commercial_lsoa_area_ratio,-1.7728743979216453e-07
lag_all_designer,-1.6242299661218661e-07
num_places,-1.5615867748233585e-07
cinema,-1.5437330890202427e-07
lag_all_school,-1.5383700975981413e-07
lag_spas,-1.5304085345909162e-07
lag_kids_recreation_and_party,-1.5294580328392822e-07
lag_commercial_avg_building_area,-1.4997364654185908e-07
lag_all_station,-1.4209677871688956e-07
lag_all_cafe,-1.381646893752384e-07
lag_lawyer,-1.371599459703296e-07
lag_all_range,-1.3469763747443166e-07
all_store,-1.3346417108581145e-07
spas,-1.2784625882742014e-07
lag_shopping,-1.2672695627936904e-07
lag_all_room,-1.2648016602246466e-07
lag_art_gallery,-1.1906950663644706e-07
lag_public_relations,-1.1799060903047525e-07
lag_all_development,-1.1609079380652757e-07
lag_all_law,-1.1568916290376793e-07
lag_all_club,-1.1562771348246244e-07
all_salon,-1.1443633880952914e-07
lag_parking,-1.1252088221316381e-07
all_league,-1.0776627021155314e-07
lag_all_store,-1.0137824523218867e-07
all_building,-1.0067486611095708e-07
lag_beer_wine_and_spirits,-9.892611139105637e-08
lag_all_service,-9.521572755091584e-08
lag_all_agency,-9.484066510585754e-08
lag_veterinarian,-9.404594559378694e-08
all_park,-9.254238188831278e-08
lag_accountant,-9.200123043394978e-08
college_university,-8.684472027843583e-08
lag_all_management,-8.568976923756277e-08
lag_residential_total_area,-8.439508015022469e-08
all_cafe,-8.414981499999701e-08
all_education,-7.046259669461091e-08
