feature,mean_importance
all_union,-2.047298855652325e-06
lag_all_broker,-1.8342506721501092e-06
lag_community_services_non_profits,-1.7293445511524283e-06
lag_num_buildings,-1.4928178988165866e-06
all_management,-1.3633743531650782e-06
lag_all_installation,-1.0341341995860412e-06
all_gym,-9.483993878792258e-07
all_trainer,-9.371183393850204e-07
lag_all_building,-8.753592403716444e-07
all_planning,-8.61072152475381e-07
counseling_and_mental_health,-7.699843049374704e-07
lag_all_pub,-7.554750418545997e-07
all_apartments,-7.15205031220504e-07
all_avg_building_area,-6.971384241935461e-07
all_course,-6.6183505817961e-07
lag_river,-6.538828652631685e-07
all_accommodation,-6.362685722584954e-07
all_estate,-6.361723757301339e-07
population,-5.814407440378923e-07
lag_acupuncture,-5.674590205109896e-07
lag_all_consultant,-5.401236932734071e-07
lag_all_shop,-5.106572220032284e-07
all_association,-4.7355914465436316e-07
lag_all_cafe,-4.711438917238481e-07
lag_plumbing,-4.663696503428418e-07
lag_eyewear_and_optician,-4.584484947360591e-07
lag_num_places,-4.5603066783516085e-07
lag_all_park,-4.543581237985314e-07
lag_commercial_total_area,-4.4698629029171846e-07
all_department,-4.3268847111913773e-07
chiropractor,-4.2389505152621776e-07
all_service,-4.1680829384012755e-07
lag_supermarket,-4.015915900959148e-07
lag_books_mags_music_and_video,-3.965223738853847e-07
all_spa,-3.8524735146828297e-07
lag_health_and_medical,-3.7895125375541536e-07
office_lsoa_area_ratio,-3.76932606879383e-07
lag_hair_stylist,-3.760095427961558e-07
lag_skilled_nursing,-3.754785921776116e-07
lag_all_estate,-3.6260500914359044e-07
all_agency,-3.345403847248336e-07
lag_retail_lsoa_area_ratio,-3.260275335682177e-07
lag_all_decor,-3.217404947299244e-07
lag_bookkeeper,-3.0412297244282076e-07
lag_all_loans,-2.947898146766795e-07
lag_office_total_area,-2.9091697520843056e-07
lag_magician,-2.827683354118556e-07
all_shop,-2.7745430178715717e-07
lag_all_design,-2.688238000301865e-07
all_salon,-2.6442875145216076e-07
lag_all_dentist,-2.489896331367319e-07
lag_monument,-2.4544612639070553e-07
lag_all_boarding,-2.437569726206232e-07
lag_all_studio,-2.4268570550393177e-07
currency_exchange,-2.265941496210454e-07
lag_all_avg_building_area,-2.262239285629044e-07
all_league,-2.2565341979786245e-07
lag_all_organization,-2.1837489845003048e-07
lag_all_total_area,-2.1675504954244676e-07
lag_all_preschool,-2.13730451448097e-07
travel,-1.8820746110193416e-07
all_center,-1.8595439097079125e-07
hotel,-1.7897119785600448e-07
lag_all_market,-1.7699140537890212e-07
lag_all_resort,-1.6703004784469973e-07
all_dentist,-1.6550260298255968e-07
lag_all_psychologist,-1.6464036166576444e-07
accountant,-1.637215414860569e-07
lag_hotel,-1.6326879838589766e-07
all_store,-1.4473464820901112e-07
lag_airlines,-1.4204035666861217e-07
lag_all_restoration,-1.4093745143682205e-07
lag_all_union,-1.3957527764446296e-07
residential_avg_building_area,-1.3761019027738796e-07
lag_all_security,-1.3346983351137123e-07
lag_public_service_and_government,-1.3320524557418105e-07
lag_all_goods,-1.3155995884864962e-07
public_relations,-1.2645474220100795e-07
lag_b2b_jewelers,-1.2179431204254234e-07
all_hall,-1.1700619120601113e-07
lag_lawyer,-1.1610457585136821e-07
radio_and_television_commercials,-1.1537389684096984e-07
lag_all_contractor,-1.0605050000979659e-07
lag_all_apartments,-1.0448092575234254e-07
all_installation,-1.0264160209163585e-07
lag_retail_avg_building_area,-9.626611600097314e-08
lag_all_provider,-9.522117020944673e-08
lag_telecommunications,-9.507634696075917e-08
residential_total_area,-9.080099007265115e-08
lag_all_accommodation,-9.052124591908642e-08
all_agents,-8.752479216236274e-08
lag_all_buyer,-8.225144069002615e-08
all_law,-8.126685481878843e-08
lag_studio_taping,-8.027016592521746e-08
roofing,-7.835697534505845e-08
eyewear_and_optician,-7.658463420426016e-08
lawyer,-7.508216662401923e-08
lag_all_temple,-7.421863384460235e-08
all_services,-7.34564939569548e-08
trusts,-7.120220692453597e-08
lag_auditorium,-7.093138741153476e-08
all_station,-7.036917016516614e-08
lag_office_lsoa_area_ratio,-6.865452125488141e-08
lag_all_advertising,-6.829072746665393e-08
lag_airport_shuttles,-6.685526291834434e-08
lag_all_coach,-6.576768112646295e-08
lag_synagogue,-6.042372959385984e-08
all_office,-5.738488867244461e-08
lag_all_room,-5.526976352335624e-08
all_facility,-5.2433820878538325e-08
lag_all_department,-5.185450854662291e-08
lag_all_testing,-5.1812520392526855e-08
lag_all_bar,-4.9990156172076923e-08
lag_general_dentistry,-4.959881143260872e-08
residential_lsoa_area_ratio,-4.941390166659688e-08
lag_hostel,-4.846987023794525e-08
lag_gardener,-4.8199668517868196e-08
lag_funeral_services_and_cemeteries,-4.8045336645077435e-08
lag_tattoo,-4.652649089797586e-08
lag_all_cleaning,-4.3987846411133613e-08
all_organizations,-3.9995648430519156e-08
lag_general_festivals,-3.320020949882754e-08
lag_metal_fabricator,-3.2520205062988366e-08
lag_retail,-3.22484334554987e-08
hostel,-3.2126414810497934e-08
lag_eat_and_drink,-3.180971148726683e-08
lag_roofing,-3.1087409135118153e-08
lag_superstore,-2.9539953666053383e-08
shopping,-2.8014059545154485e-08
laundromat,-2.7761012388441597e-08
lag_all_trainer,-2.7064279553851974e-08
all_media,-2.4287774982846375e-08
all_building,-2.3572519903768254e-08
lag_all_shelter,-2.340910660306571e-08
all_contractor,-2.1977922591526433e-08
lag_land_surveying,-2.1527499090177118e-08
lag_process_servers,-2.1229731507544285e-08
all_supplies,-2.0839939887936857e-08
lag_all_education,-2.0137085469886552e-08
lag_all_surgeon,-1.986094382751415e-08
all_park,-1.973550602098084e-08
all_dealer,-1.953218411920575e-08
lag_all_plaza,-1.9215791808931163e-08
lag_all_association,-1.8947408913064547e-08
lag_business_consulting,-1.85218404486112e-08
lag_investing,-1.8101520356219506e-08
lag_all_service,-1.6471393004428777e-08
retail_avg_building_area,-1.634201963986501e-08
lag_all_agency,-1.6317850164193263e-08
