feature,mean_importance
embassy,-1.231988089950792e-06
b2b_science_and_technology,-1.1731365312045954e-06
record_label,-9.933884783110453e-07
health_and_medical,-9.18924839944756e-07
counseling_and_mental_health,-7.826005009559976e-07
orthopedist,-6.568499938115045e-07
all_food,-6.489459877961556e-07
airlines,-6.357883784774294e-07
aromatherapy,-6.356565438497814e-07
all_accommodation,-6.153233499717236e-07
computer_coaching,-5.867792177174352e-07
all_institute,-5.363209096739119e-07
all_media,-5.326441591999101e-07
travel,-5.2310285518952e-07
hotel,-5.081353685695451e-07
retail_total_area,-4.769449013033157e-07
all_dentist,-4.3260751196749107e-07
all_organizations,-4.316350464856101e-07
all_supply,-4.2629004617688234e-07
all_plaza,-4.094144187118888e-07
general_litigation,-4.0683671559854403e-07
all_medicine,-3.956085429080003e-07
all_rink,-3.892506834886488e-07
psychiatrist,-3.8439303697518984e-07
hypnosis_hypnotherapy,-3.792258217675127e-07
university_housing,-3.747791967481602e-07
ticket_sales,-3.701596850182217e-07
all_advertising,-3.528829830122963e-07
fashion,-3.464468905967812e-07
bartender,-3.1327837277070234e-07
commercial_industrial,-2.9344979134230937e-07
estate_liquidation,-2.6997471286527504e-07
matchmaker,-2.6993353393973185e-07
obstetrician_and_gynecologist,-2.599717871466434e-07
ice_cream_and_frozen_yoghurt,-2.5570763993783696e-07
all_mining,-2.527377202863953e-07
superstore,-2.4592985840984975e-07
all_psychologist,-2.3875567183573297e-07
all_office,-2.376747143453272e-07
all_apartments,-2.3247179056119247e-07
dietitian,-2.2770882376632753e-07
all_avg_building_area,-2.2646085767187542e-07
bubble_tea,-2.2517538588904895e-07
all_building,-2.1939312346216527e-07
all_service,-2.1392470535350472e-07
office_total_area,-2.0645480846386406e-07
eat_and_drink,-2.043003032286086e-07
nutritionist,-2.016142810796096e-07
kitchen_and_bath,-1.9970608514506158e-07
all_tours,-1.975411203637459e-07
radiologist,-1.9683146035274525e-07
motor_freight_trucking,-1.8786591903455494e-07
all_provider,-1.867018114100539e-07
karaoke,-1.8486969354391012e-07
commercial_avg_building_area,-1.846334084565712e-07
all_transportation,-1.817147859718555e-07
theatrical_productions,-1.700108663876075e-07
retail_avg_building_area,-1.6593465166922582e-07
all_venue,-1.60151886436517e-07
parking,-1.597499487542654e-07
gelato,-1.5948181901895623e-07
magician,-1.548446387858893e-07
orthodontist,-1.4935263443938584e-07
financial_advising,-1.478567100655337e-07
gardener,-1.4429284438773798e-07
donuts,-1.4421901302612165e-07
all_school,-1.4348755860296925e-07
residential_avg_building_area,-1.429550227074016e-07
movers,-1.4271485484849261e-07
chiropractor,-1.3901435686780492e-07
all_management,-1.2650000088374764e-07
energy_equipment_and_solution,-1.2639543825640036e-07
distillery,-1.1906736711831626e-07
all_schools,-1.1530645673408883e-07
library,-1.1320612631005381e-07
permanent_makeup,-1.1305194048107445e-07
all_wholesaler,-1.12470225230947e-07
escape_rooms,-1.1226530982761914e-07
playground,-1.1196531337510901e-07
all_foods,-1.0766275632203177e-07
accountant,-1.0532687542401402e-07
hostel,-1.0504109662248079e-07
diner,-9.970012483125063e-08
delicatessen,-9.475242009716277e-08
all_house,-9.360909014477112e-08
all_class,-9.34451765842456e-08
builders,-9.257630153110177e-08
performing_arts,-9.142965165168234e-08
musician,-8.982844469523649e-08
theaters_and_performance_venues,-8.026454387368235e-08
hair_extensions,-7.840378240995768e-08
all_massage,-7.544214539209295e-08
fruits_and_vegetables,-7.503136563438088e-08
cricket_ground,-7.025755343987384e-08
iron_and_steel_industry,-6.948004564500553e-08
all_museum,-6.869779099616125e-08
all_market,-6.86175296464681e-08
paint_your_own_pottery,-6.791454438178762e-08
choir,-6.789970016187103e-08
all_temple,-6.788887669378354e-08
all_supplies,-6.729926036606524e-08
kiosk,-6.09377756890107e-08
real_estate_investment,-5.9270638060117156e-08
theatre,-5.872634257216925e-08
all_wear,-5.847137325295327e-08
all_lsoa_area_ratio,-5.4913446201309536e-08
optometrist,-5.475824554592774e-08
all_photography,-5.175195908685491e-08
coach_bus,-5.011459841245563e-08
videographer,-4.9101307396913226e-08
hematology,-4.740417449014225e-08
all_remodeling,-4.70268604528499e-08
oil_and_gas,-4.6858952518494464e-08
law_enforcement,-4.5147235033014094e-08
all_distribution,-4.4891896295548876e-08
