feature,mean_importance
all_avg_building_area,-4.772870346026138e-06
all_rentals,-2.2328957680327016e-06
commercial_lsoa_area_ratio,-1.907671644867437e-06
all_media,-1.0815261191360408e-06
hotel,-1.0240282146013743e-06
all_accommodation,-9.271685885053058e-07
all_league,-5.702082456374757e-07
all_association,-4.851901990387218e-07
community_services_non_profits,-4.830280261024803e-07
all_transportation,-1.6471782169365761e-07
num_buildings,-1.5549412188077868e-07
office_avg_building_area,-1.4998428210965447e-07
all_preschool,-1.4676328026260458e-07
all_agency,-1.286911383198945e-07
residential_lsoa_area_ratio,-1.1302959286263145e-07
all_education,-1.0902897616762465e-07
all_camp,-1.0503818430492029e-07
all_agencies,-8.164552359461486e-08
all_repair,-7.357392023995667e-08
all_security,-7.048449914690469e-08
b2b_science_and_technology,-5.639417744455393e-08
cinema,-4.438983600715498e-08
all_production,-3.998723721551124e-08
all_architect,-3.893483249799699e-08
airlines,-3.772551997272493e-08
all_studio,-3.4655530609483515e-08
all_institute,-3.18064103133696e-08
all_hospital,-3.135166533439629e-08
all_schools,-3.1077870196727624e-08
mosque,-2.899793516563683e-08
all_management,-2.2258374884169e-08
health_and_medical,-2.1050632057323633e-08
commercial_industrial,-2.0333197286892426e-08
all_remodeling,-1.95611795665053e-08
all_contractor,-1.9382259695321698e-08
all_tours,-1.6967274532077302e-08
all_rink,-1.673573516103934e-08
brasserie,-1.561004080629573e-08
all_dentist,-1.4826155787658012e-08
airline,-1.2985370157228245e-08
all_medicine,-1.2658236719498684e-08
all_school,-1.251984338061058e-08
all_agent,-1.2494122156131666e-08
banks,-1.2361545579564666e-08
office_total_area,-1.1012437037574393e-08
fertility,-1.0958053015256342e-08
all_planning,-1.064433419057509e-08
fashion,-1.059124647690801e-08
lawyer,-1.00465378032757e-08
escape_rooms,-9.676790258566939e-09
all_insurance,-9.6533811859374e-09
shopping,-9.049018699209242e-09
embassy,-7.340566960763108e-09
all_supplier,-7.146715828166954e-09
orthodontist,-6.815182619706813e-09
all_advertising,-6.650198149982017e-09
all_boarding,-6.49770476961989e-09
chiropractor,-6.361963040358914e-09
telecommunications,-6.283855496717731e-09
karaoke,-6.100965116254424e-09
all_rental,-5.847110092028281e-09
arts_and_crafts,-5.718019119436599e-09
performing_arts,-5.069730784997201e-09
office_lsoa_area_ratio,-4.761402285108644e-09
all_trainer,-4.247520009877744e-09
all_brokers,-3.944610657230052e-09
all_class,-3.893442797037302e-09
all_shelter,-3.483863111883377e-09
financial_advising,-3.4262814515369396e-09
private_jet_charters,-3.2184604638679715e-09
all_gym,-3.1440589993254537e-09
all_cafe,-2.5547764111874472e-09
accountant,-2.539327076007416e-09
all_bookstore,-2.485555660963301e-09
funeral_services_and_cemeteries,-2.4038875437413522e-09
all_facility,-2.2989483817439838e-09
all_counselor,-1.8095563675325799e-09
commercial_printer,-1.7718120418473595e-09
handyman,-1.1607319006659372e-09
all_club,-1.0512514685755776e-09
auto_customization,-9.840089555448994e-10
all_distribution,-9.6158394656922e-10
airport_terminal,-9.136055826347209e-10
all_clinic,-8.851651766664009e-10
condominium,-8.237468626255662e-10
all_stadium,-8.088349570163243e-10
b2b_textiles,-7.560330782303989e-10
all_sitting,-4.798911478024219e-10
spas,-3.240818049617361e-10
record_label,-3.181363556300403e-10
carpenter,-3.06029467019638e-10
all_stores,-2.1883282968365204e-10
all_goods,-1.8464405455455822e-10
skilled_nursing,-1.781311472878375e-10
all_supplies,-1.553433780698485e-10
bridge,-1.4347615646422137e-10
all_cleaning,-1.4104103542223648e-10
fruits_and_vegetables,-7.612602979765885e-11
electrician,-7.070006442810341e-11
psychic,-5.028491582002338e-11
osteopath,-2.964051099289995e-11
waxing,-2.0232893869164252e-11
land_surveying,0.0
importers,0.0
all_florist,0.0
iron_and_steel_industry,0.0
estate_liquidation,0.0
linen,0.0
iron_work,0.0
all_contractors,0.0
kiosk,0.0
eyewear_and_optician,0.0
jail_and_prison,0.0
ethical_grocery,0.0
lake,0.0
junkyard,0.0
laboratory,0.0
fishmonger,0.0
laser_eye_surgery_lasik,0.0
firework_retailer,0.0
laundromat,0.0
laser_tag,0.0
gardener,0.0
ice_cream_and_frozen_yoghurt,0.0
hair_replacement,0.0
exporters,0.0
hair_extensions,0.0
lottery_ticket,0.0
gun_and_ammo,0.0
furniture_reupholstery,0.0
grain_elevators,0.0
all_instructor,0.0
furniture_wholesalers,0.0
all_course,0.0
all_track,0.0
general_litigation,0.0
general_festivals,0.0
genealogists,0.0
gelato,0.0
all_manufacturers,0.0
all_food,0.0
furniture_assembly,0.0
hearing_aids,0.0
all_exporter,0.0
all_gardening,0.0
housing_cooperative,0.0
housing_authorities,0.0
gastroenterologist,0.0
food_truck,0.0
fountain,0.0
hot_tubs_and_pools,0.0
hospice,0.0
horse_riding,0.0
home_automation,0.0
all_decor,0.0
all_arena,0.0
hiking_trail,0.0
hematology,0.0
all_coach,0.0
family_practice,0.0
observatory,0.0
marble_and_granite_professionals,0.0
speakeasy,0.0
sign_making,0.0
shutters,0.0
all_therapist,0.0
sewing_and_alterations,0.0
sculpture_statue,0.0
all_instruction,0.0
rugby_pitch,0.0
rock_climbing_spot,0.0
restaurant_wholesale,0.0
reiki,0.0
reflexology,0.0
railroad_freight,0.0
radiologist,0.0
radio_and_television_commercials,0.0
quay,0.0
psychotherapist,0.0
all_psychologist,0.0
psychic_medium,0.0
spray_tanning,0.0
psychiatrist,0.0
steel_fabricators,0.0
structural_engineer,0.0
wildlife_sanctuary,0.0
wholesale_grocer,0.0
waterproofing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
veterinarian,0.0
urologist,0.0
tiling,0.0
theaters_and_performance_venues,0.0
test_preparation,0.0
television_service_providers,0.0
teeth_whitening,0.0
tattoo,0.0
synagogue,0.0
swimming_pool,0.0
superstore,0.0
studio_taping,0.0
structure_and_geography,0.0
stone_and_masonry,0.0
process_servers,0.0
private_tutor,0.0
private_investigation,0.0
osteopathic_physician,0.0
orthopedist,0.0
oil_refiners,0.0
occupational_safety,0.0
nutritionist,0.0
nurse_practitioner,0.0
notary_public,0.0
neurologist,0.0
nature_reserve,0.0
musician,0.0
movers,0.0
mountain,0.0
mortgage_lender,0.0
metal_fabricator,0.0
mediator,0.0
media_news_website,0.0
matchmaker,0.0
masonry_concrete,0.0
marina,0.0
outdoor_gear,0.0
paint_your_own_pottery,0.0
paintball,0.0
painting,0.0
private_equity_firm,0.0
all_washing,0.0
all_billiards,0.0
plumbing,0.0
playground,0.0
plasterer,0.0
planetarium,0.0
pier,0.0
all_zoo,0.0
magician,0.0
pets,0.0
pet_breeder,0.0
personal_chef,0.0
personal_assistant,0.0
permanent_makeup,0.0
pension,0.0
pediatrician,0.0
patio_covers,0.0
all_mill,0.0
palace,0.0
pet_groomer,0.0
all_massage,0.0
engraving,0.0
