feature,mean_importance
currency_exchange,-1.0152477173973054e-05
all_advertising,-7.540390549467621e-06
all_goods,-6.257002284014659e-06
all_supplier,-6.1083262484517955e-06
food_stand,-5.525094287114137e-06
all_food,-5.194701738858745e-06
all_salon,-5.095929334024546e-06
all_cafe,-4.340991540508239e-06
active_life,-4.255923084412017e-06
all_company,-3.6365582764923132e-06
all_house,-3.5694989427118266e-06
delicatessen,-3.3718083000907597e-06
shopping,-3.275016665737907e-06
bakery,-3.2578190916120625e-06
all_businesses,-3.235260219139666e-06
barber,-3.0385984525694436e-06
all_gym,-2.963787926953148e-06
parking,-2.907531359027296e-06
all_spa,-2.8700112503087947e-06
all_transportation,-2.8042257605571084e-06
all_wear,-2.502450712236828e-06
donuts,-2.408396177222357e-06
all_organizations,-2.301016418320589e-06
retail,-2.243375412007924e-06
church_cathedral,-2.1809504095804293e-06
doctor,-2.1578943231236486e-06
all_association,-2.1098099765978052e-06
all_room,-2.1072942741746636e-06
eyewear_and_optician,-2.0851269837109612e-06
b2b_science_and_technology,-1.731787485609288e-06
desserts,-1.6837535270630353e-06
diner,-1.6000672886148719e-06
all_bookstore,-1.5572040167550025e-06
all_security,-1.5500296684101897e-06
karaoke,-1.4364261293320286e-06
bubble_tea,-1.4327118040920612e-06
all_museum,-1.3901558264252075e-06
banks,-1.2775738574493012e-06
all_plaza,-1.2500728268790305e-06
junk_removal_and_hauling,-1.233686402639264e-06
all_supplies,-1.1913624903376636e-06
all_buyer,-1.161912696516005e-06
all_entertainment,-1.1477534971580216e-06
all_training,-1.1266026498947172e-06
all_piercing,-1.0813333692908543e-06
key_and_locksmith,-1.0221182741199027e-06
caterer,-9.275020538906969e-07
all_companies,-9.025121001004886e-07
all_centers,-8.828415181076995e-07
osteopath,-8.597188391857804e-07
veterinarian,-7.935342831130872e-07
all_coach,-7.701761067431231e-07
all_organization,-7.654543307879376e-07
all_camp,-7.344487831971138e-07
all_care,-7.025113400639324e-07
all_rink,-6.692406242584667e-07
trains,-6.499182613286614e-07
motor_freight_trucking,-6.389559443334739e-07
all_home,-6.245137319592565e-07
airport_terminal,-6.21157238199461e-07
brewery,-5.823168235114657e-07
general_dentistry,-5.593694847632718e-07
all_lounge,-5.529807425227068e-07
travel,-5.414151875651703e-07
pharmacy,-5.381662710297739e-07
accountant,-5.357965522980059e-07
business_consulting,-5.255822451124366e-07
all_media,-5.034706125047817e-07
spas,-5.003646866799958e-07
all_bar,-4.888954414340377e-07
all_education,-4.871207981530233e-07
all_inspector,-4.747371824776684e-07
river,-4.6440715936216744e-07
mortgage_lender,-4.638992666405894e-07
private_tutor,-4.4288504578003263e-07
escape_rooms,-4.354274795842608e-07
telecommunications,-4.2527586969859593e-07
all_massage,-4.2173371647650647e-07
all_space,-4.1242488187291463e-07
electrician,-3.990842530905307e-07
computer_coaching,-3.934765934519673e-07
armed_forces_branch,-3.798180290077037e-07
airlines,-3.734383469885757e-07
palace,-3.4852327753715534e-07
television_service_providers,-3.448486042169482e-07
condominium,-3.4125621463235774e-07
movers,-3.383871514314496e-07
courthouse,-3.2315137507110777e-07
vitamins_and_supplements,-3.1413976215052095e-07
dermatologist,-3.136741022150615e-07
osteopathic_physician,-3.1348995389580656e-07
hotel,-3.1254915179733844e-07
all_boarding,-3.1048930735418794e-07
fishmonger,-2.9045595645995966e-07
audiologist,-2.8359346236306815e-07
structural_engineer,-2.74275172310894e-07
jazz_and_blues,-2.556039792763181e-07
all_wholesaler,-2.5268183717399857e-07
home_developer,-2.506869474325023e-07
auto_customization,-2.426656425352937e-07
acupuncture,-2.3064215597002485e-07
all_gardening,-2.255837459612831e-07
electronics,-2.2476949713413333e-07
auditorium,-2.0969232277909982e-07
coach_bus,-1.9537944592551231e-07
all_counseling,-1.853209819252993e-07
car_wash,-1.8373525688333434e-07
all_hall,-1.8076243807629585e-07
general_litigation,-1.696999980511704e-07
fashion,-1.6882050859842615e-07
bed_and_breakfast,-1.67941150811004e-07
all_range,-1.6179110738525725e-07
pier,-1.5303707640537028e-07
all_lsoa_area_ratio,-1.5298928407833537e-07
all_removal,-1.4827576919556424e-07
wills_trusts_and_probate,-1.4721770573302253e-07
gelato,-1.4556518901129952e-07
all_team,-1.4087675614120234e-07
speakeasy,-1.3955597391990922e-07
fruits_and_vegetables,-1.3812184882771996e-07
casino,-1.3719535163619348e-07
metal_fabricator,-1.3237151892284919e-07
all_resort,-1.3234760213310638e-07
data_recovery,-1.292230655584761e-07
security_systems,-1.2896085818783538e-07
brasserie,-1.2582958925889345e-07
all_psychologist,-1.223548761416799e-07
videographer,-1.219095067480177e-07
nurse_practitioner,-1.1835930620258722e-07
all_sitting,-1.1744862475704464e-07
commercial_industrial,-1.1454457718018803e-07
psychic,-1.1150492657888144e-07
theatrical_productions,-1.1133091279321968e-07
arcade,-1.1094211782530327e-07
laundromat,-1.0758698786853991e-07
all_decor,-1.0719214865192008e-07
cafetaria,-1.0627041905753965e-07
structure_and_geography,-1.0545779031471644e-07
oil_and_gas,-1.0379623408962992e-07
all_provider,-9.993222224145848e-08
all_accessories,-9.796482481396753e-08
winery,-8.953896262782327e-08
ice_cream_and_frozen_yoghurt,-8.776731447377437e-08
business_signage,-8.651515983403935e-08
waterproofing,-8.530078318548614e-08
tiling,-8.455361463862897e-08
psychiatrist,-8.04909744133868e-08
used_vintage_and_consignment,-7.954066534266118e-08
waxing,-7.609722264499404e-08
all_artist,-7.101230400716868e-08
ophthalmologist,-7.03302849110383e-08
iron_and_steel_industry,-6.973084684525738e-08
circus,-6.003428528466052e-08
orthopedist,-5.810485141934628e-08
real_estate_investment,-5.7180331084481004e-08
all_therapist,-4.955741929323109e-08
chemical_plant,-4.8728723613374674e-08
housing_authorities,-4.8084234183484235e-08
public_service_and_government,-4.7847251142963255e-08
all_tinting,-4.676791756605977e-08
warehouses,-4.6252112269264295e-08
dietitian,-4.593153954482194e-08
carpenter,-4.0112159799244285e-08
all_fair,-3.946411174253668e-08
marble_and_granite_professionals,-3.9087852059076225e-08
general_festivals,-3.899028099510373e-08
housing_cooperative,-3.435056998713892e-08
playground,-3.332241157127621e-08
boutique,-3.25739484845802e-08
furniture_wholesalers,-3.19211686092627e-08
bathtub_and_sink_repairs,-2.8966721293219875e-08
paintball,-2.8584777093102658e-08
b2b_furniture_and_housewares,-2.851484966149491e-08
bike_repair_maintenance,-2.7784960302288742e-08
commercial_printer,-2.7698509129034115e-08
nature_reserve,-2.6220979307321844e-08
pet_breeder,-2.2477141728668754e-08
all_offices,-2.0995856192990202e-08
choir,-2.0909936682581378e-08
doner_kebab,-2.0712557573189428e-08
planetarium,-2.0256942568217993e-08
wholesale_grocer,-1.9505472764188648e-08
distillery,-1.945639175471715e-08
superstore,-1.9406848681516907e-08
office_lsoa_area_ratio,-1.9383190199328604e-08
ethical_grocery,-1.6741164829718254e-08
all_laboratories,-1.635382023782719e-08
laser_tag,-1.619732075820821e-08
patio_covers,-1.4219374339783015e-08
home_automation,-1.3639800028903012e-08
all_instructor,-1.3526902086278105e-08
builders,-1.278011427607406e-08
laboratory,-1.2653778343812093e-08
beer_wine_and_spirits,-1.2543256668011014e-08
embroidery_and_crochet,-1.1593181034413001e-08
gun_and_ammo,-9.128844725706984e-09
genealogists,-8.451262839919674e-09
endocrinologist,-8.249171292899022e-09
paint_your_own_pottery,-8.177606487951602e-09
orthodontist,-6.827034807694644e-09
occupational_safety,-5.835775667318178e-09
diagnostic_imaging,-5.4362952438730174e-09
coal_and_coke,-5.388108191312514e-09
all_medicine,-5.275629516931862e-09
