feature,mean_importance
num_places,-4.226701594451938e-08
embassy,-1.0164395367051604e-20
all_cafe,-8.809142651444724e-21
dietitian,-8.809142651444724e-21
bookbinding,-8.809142651444724e-21
laboratory,-8.809142651444724e-21
agriculture,-8.809142651444724e-21
currency_exchange,-8.809142651444724e-21
barber,-8.809142651444724e-21
all_stores,-8.809142651444724e-21
laser_eye_surgery_lasik,-8.809142651444724e-21
all_zoo,-8.809142651444724e-21
all_foods,-8.809142651444724e-21
law_enforcement,-8.809142651444724e-21
all_supplies,-8.809142651444724e-21
all_landscaping,-8.809142651444724e-21
all_repair,-8.131516293641283e-21
audiologist,-8.131516293641283e-21
retail,-8.131516293641283e-21
all_mining,-8.131516293641283e-21
b2b_textiles,-8.131516293641283e-21
oil_and_gas,-8.131516293641283e-21
b2b_science_and_technology,-8.131516293641283e-21
all_church,-8.131516293641283e-21
coach_bus,-8.131516293641283e-21
all_organization,-8.131516293641283e-21
playground,-8.131516293641283e-21
campground,-8.131516293641283e-21
firework_retailer,-8.131516293641283e-21
all_field,-7.453889935837844e-21
all_architect,-7.453889935837844e-21
obstetrician_and_gynecologist,-7.453889935837844e-21
steel_fabricators,-7.453889935837844e-21
aromatherapy,-7.453889935837844e-21
all_school,-7.453889935837844e-21
cardiologist,-7.453889935837844e-21
bathtub_and_sink_repairs,-7.453889935837844e-21
sign_making,-7.453889935837844e-21
orthodontist,-7.453889935837844e-21
auto_manufacturers_and_distributors,-7.453889935837844e-21
hair_extensions,-7.453889935837844e-21
builders,-7.453889935837844e-21
masonry_concrete,-7.453889935837844e-21
bike_repair_maintenance,-7.453889935837844e-21
all_dealers,-7.453889935837844e-21
railroad_freight,-7.453889935837844e-21
dog_walkers,-7.453889935837844e-21
food_stand,-7.453889935837844e-21
all_agent,-7.453889935837844e-21
all_station,-7.453889935837844e-21
all_classes,-7.453889935837844e-21
books_mags_music_and_video,-7.453889935837844e-21
movers,-7.453889935837844e-21
all_planning,-7.453889935837844e-21
theaters_and_performance_venues,-7.453889935837844e-21
commercial_total_area,-7.453889935837844e-21
residential_total_area,-7.453889935837844e-21
all_advertising,-6.776263578034403e-21
desserts,-6.776263578034403e-21
university_housing,-6.776263578034403e-21
cottage,-6.776263578034403e-21
general_festivals,-6.776263578034403e-21
chemical_plant,-6.776263578034403e-21
all_supplier,-6.776263578034403e-21
all_florist,-6.776263578034403e-21
furniture_assembly,-6.776263578034403e-21
karaoke,-6.776263578034403e-21
all_clothing,-6.776263578034403e-21
all_office,-6.776263578034403e-21
furniture_wholesalers,-6.776263578034403e-21
escape_rooms,-6.776263578034403e-21
b2b_food_products,-6.776263578034403e-21
trains,-6.776263578034403e-21
osteopathic_physician,-6.776263578034403e-21
all_surgeon,-6.776263578034403e-21
reiki,-6.776263578034403e-21
palace,-6.776263578034403e-21
auditorium,-6.776263578034403e-21
all_rental,-6.776263578034403e-21
private_jet_charters,-6.776263578034403e-21
beer_wine_and_spirits,-6.776263578034403e-21
stone_and_masonry,-6.776263578034403e-21
arcade,-6.776263578034403e-21
business_consulting,-6.776263578034403e-21
all_therapy,-6.776263578034403e-21
all_rink,-6.776263578034403e-21
all_cleaning,-6.776263578034403e-21
laser_tag,-6.776263578034403e-21
permanent_makeup,-6.776263578034403e-21
all_artist,-6.776263578034403e-21
church_cathedral,-6.776263578034403e-21
all_club,-6.776263578034403e-21
skilled_nursing,-6.776263578034403e-21
all_counselor,-6.776263578034403e-21
radio_and_television_commercials,-6.0986372202309626e-21
genealogists,-6.0986372202309626e-21
psychiatrist,-6.0986372202309626e-21
financial_advising,-6.0986372202309626e-21
quay,-6.0986372202309626e-21
mediator,-6.0986372202309626e-21
all_exporter,-6.0986372202309626e-21
retail_avg_building_area,-6.0986372202309626e-21
all_hall,-6.0986372202309626e-21
all_supply,-6.0986372202309626e-21
psychotherapist,-6.0986372202309626e-21
commercial_lsoa_area_ratio,-6.0986372202309626e-21
planetarium,-6.0986372202309626e-21
all_wholesaler,-6.0986372202309626e-21
nutritionist,-6.0986372202309626e-21
home_automation,-6.0986372202309626e-21
structural_engineer,-6.0986372202309626e-21
pension,-6.0986372202309626e-21
coal_and_coke,-6.0986372202309626e-21
airport_terminal,-6.0986372202309626e-21
cinema,-6.0986372202309626e-21
spray_tanning,-6.0986372202309626e-21
airline,-6.0986372202309626e-21
all_total_area,-6.0986372202309626e-21
electronics,-6.0986372202309626e-21
all_plaza,-6.0986372202309626e-21
all_design,-6.0986372202309626e-21
waterproofing,-6.0986372202309626e-21
all_tours,-6.0986372202309626e-21
all_brokers,-6.0986372202309626e-21
b2b_rubber_and_plastics,-6.0986372202309626e-21
security_systems,-6.0986372202309626e-21
all_institute,-6.0986372202309626e-21
all_equipment,-6.0986372202309626e-21
all_entertainment,-6.0986372202309626e-21
all_food,-6.0986372202309626e-21
chimney_sweep,-6.0986372202309626e-21
restaurant_wholesale,-6.0986372202309626e-21
all_gardening,-5.4210108624275225e-21
all_tinting,-5.4210108624275225e-21
commercial_industrial,-5.4210108624275225e-21
all_temple,-5.4210108624275225e-21
performing_arts,-5.4210108624275225e-21
private_investigation,-5.4210108624275225e-21
civil_rights_lawyers,-5.4210108624275225e-21
musician,-5.4210108624275225e-21
all_installation,-5.4210108624275225e-21
all_transportation,-5.4210108624275225e-21
pharmacy,-5.4210108624275225e-21
counseling_and_mental_health,-5.4210108624275225e-21
choir,-5.4210108624275225e-21
fertility,-5.4210108624275225e-21
all_dentist,-5.4210108624275225e-21
all_team,-5.4210108624275225e-21
all_farm,-5.4210108624275225e-21
bubble_tea,-5.4210108624275225e-21
pediatrician,-5.4210108624275225e-21
orthopedist,-5.4210108624275225e-21
automotive,-5.4210108624275225e-21
donuts,-5.4210108624275225e-21
