feature,mean_importance
num_places,-3.143854250238628e-07
brasserie,-2.583624360662569e-07
all_agency,-2.1520143948878518e-07
all_store,-1.57079444751421e-07
all_estate,-1.1428131595704508e-07
all_advertising,-6.284756026623978e-08
all_bar,-4.3571393354525584e-08
population,-3.465640541720557e-08
commercial_avg_building_area,-3.1699715058896204e-08
theatre,-1.6320923583763186e-08
all_law,-1.4478485135512796e-08
all_office,-1.1233120880316965e-08
all_management,-1.0455457876881708e-08
library,-2.5673439949287107e-09
theatrical_productions,-1.4996699560433266e-09
structure_and_geography,-7.202999455612337e-10
bed_and_breakfast,-5.443617116989774e-10
orthodontist,-4.0657581468206415e-21
automobile_leasing,-4.0657581468206415e-21
furniture_assembly,-4.0657581468206415e-21
private_tutor,-3.3881317890172014e-21
b2b_hardware,-3.3881317890172014e-21
all_supplies,-3.3881317890172014e-21
all_sitting,-3.3881317890172014e-21
all_resort,-3.3881317890172014e-21
all_rental,-3.3881317890172014e-21
hair_extensions,-3.3881317890172014e-21
radiologist,-3.3881317890172014e-21
all_plaza,-3.3881317890172014e-21
baby_gear_and_furniture,-3.3881317890172014e-21
all_exporter,-3.3881317890172014e-21
all_farm,-3.3881317890172014e-21
genealogists,-3.3881317890172014e-21
aromatherapy,-3.3881317890172014e-21
art_gallery,-3.3881317890172014e-21
gastroenterologist,-3.3881317890172014e-21
brewery,-3.3881317890172014e-21
atms,-3.3881317890172014e-21
all_shelter,-3.3881317890172014e-21
land_surveying,-3.3881317890172014e-21
agriculture,-3.3881317890172014e-21
law_enforcement,-3.3881317890172014e-21
all_avg_building_area,-3.3881317890172014e-21
wildlife_sanctuary,-3.3881317890172014e-21
all_mill,-3.3881317890172014e-21
books_mags_music_and_video,-3.3881317890172014e-21
osteopathic_physician,-3.3881317890172014e-21
opera_and_ballet,-3.3881317890172014e-21
waxing,-3.3881317890172014e-21
obstetrician_and_gynecologist,-3.3881317890172014e-21
observatory,-3.3881317890172014e-21
all_clinic,-3.3881317890172014e-21
all_venue,-3.3881317890172014e-21
vitamins_and_supplements,-3.3881317890172014e-21
mosque,-3.3881317890172014e-21
laser_eye_surgery_lasik,-3.3881317890172014e-21
all_schools,-3.3881317890172014e-21
acupuncture,-3.3881317890172014e-21
psychic,-3.3881317890172014e-21
matchmaker,-3.3881317890172014e-21
marina,-3.3881317890172014e-21
radio_and_television_commercials,-3.3881317890172014e-21
auto_customization,-3.3881317890172014e-21
all_supplier,-3.3881317890172014e-21
all_production,-3.3881317890172014e-21
fountain,-3.3881317890172014e-21
data_recovery,-3.3881317890172014e-21
delicatessen,-2.7105054312137612e-21
diner,-2.7105054312137612e-21
