feature,mean_importance
all_management,-1.8829503694850673e-06
residential_lsoa_area_ratio,-9.63569459604172e-07
all_bookstore,-9.251441585474861e-07
all_testing,-7.477123730178172e-07
travel,-7.185527715990555e-07
all_apartments,-5.92623228226784e-07
all_clinic,-5.703642391515331e-07
all_gym,-5.595664964702866e-07
data_recovery,-5.400744903129437e-07
num_places,-4.727034362053307e-07
theatre,-3.4666824278146264e-07
all_estate,-2.5882397188102956e-07
all_organization,-2.432499779837842e-07
community_services_non_profits,-2.3767836430105683e-07
embassy,-2.0432627171288072e-07
all_tours,-1.8033467915860716e-07
college_university,-1.5645617063757625e-07
hotel,-1.2280619145144048e-07
all_avg_building_area,-1.1656426812409687e-07
all_center,-1.1422504634809797e-07
key_and_locksmith,-1.1118901621967581e-07
barber,-9.90993255916699e-08
b2b_science_and_technology,-8.870636161708233e-08
all_advertising,-8.699375729245656e-08
public_relations,-7.672914992490836e-08
all_department,-7.149507170178137e-08
eat_and_drink,-6.577023031769892e-08
hostel,-6.260536519686004e-08
all_bar,-5.742200053750001e-08
all_supplier,-4.820809623568814e-08
spas,-4.515731661025786e-08
all_museum,-4.4879366093802895e-08
all_home,-4.471032221784897e-08
all_church,-4.02483262578867e-08
all_club,-3.42253824466048e-08
all_services,-3.3517882803273404e-08
all_preschool,-2.9176481003832692e-08
all_service,-2.8415541327967048e-08
all_florist,-2.7248001555405225e-08
doctor,-2.6626458013410156e-08
luggage_storage,-2.6253866669014284e-08
all_production,-2.5165509753683988e-08
all_union,-2.4496457364444756e-08
all_food,-2.40346770167334e-08
art_gallery,-2.2211157894641218e-08
all_care,-2.101642108162633e-08
all_studio,-2.001893490558487e-08
all_manufacturers,-1.9940751489872747e-08
active_life,-1.6326996568478122e-08
office_lsoa_area_ratio,-1.5806625785966656e-08
office_total_area,-1.3058262744958206e-08
all_medicine,-1.0127246413592024e-08
all_distribution,-9.700720966802554e-09
opera_and_ballet,-9.639513521203297e-09
all_agents,-8.980910677386812e-09
all_accommodation,-7.391517474821007e-09
eyewear_and_optician,-7.297230457475282e-09
computer_coaching,-6.9381402841793e-09
delicatessen,-6.104890265484591e-09
courthouse,-5.9613998118211484e-09
all_security,-5.538545528876602e-09
all_piercing,-5.313909394628891e-09
plumbing,-4.677840311371399e-09
counseling_and_mental_health,-4.5687404569183155e-09
podiatrist,-4.265396343702962e-09
desserts,-4.100286594369701e-09
test_preparation,-3.5657521348426046e-09
ice_cream_and_frozen_yoghurt,-3.497470939408222e-09
all_organizations,-3.249933343587566e-09
performing_arts,-3.0162227120244406e-09
all_market,-2.8456900066684107e-09
all_surgeon,-2.814456714114299e-09
public_service_and_government,-2.1888828079461303e-09
all_league,-2.1415378428178548e-09
steakhouse,-1.1891175806053185e-09
roofing,-9.926723936528074e-10
bakery,-9.005352894173057e-10
caterer,-8.597513416393763e-10
dermatologist,-8.357744938467427e-10
all_cafe,-5.044110300370672e-10
brewery,-4.642977280029377e-10
bike_repair_maintenance,-4.2510683323927333e-10
kitchen_and_bath,-4.1010759824721116e-10
all_loans,-3.4469869110328705e-10
all_salon,-2.615944419537123e-10
library,-2.2817533047329647e-10
commercial_industrial,-1.9046943485043125e-10
all_wear,-1.132791794842083e-10
optometrist,-2.9744065005866526e-11
karaoke,0.0
junkyard,0.0
fruits_and_vegetables,0.0
jazz_and_blues,0.0
all_foods,0.0
food_truck,0.0
all_exporter,0.0
laboratory,0.0
junk_removal_and_hauling,0.0
hair_replacement,0.0
land_surveying,0.0
all_counselor,0.0
marble_and_granite_professionals,0.0
magician,0.0
fertility,0.0
lottery_ticket,0.0
lodge,0.0
linen,0.0
firework_retailer,0.0
fishmonger,0.0
all_goods,0.0
law_enforcement,0.0
laundromat,0.0
jail_and_prison,0.0
laser_eye_surgery_lasik,0.0
all_contractors,0.0
lake,0.0
laser_tag,0.0
iron_and_steel_industry,0.0
iron_work,0.0
all_boarding,0.0
home_developer,0.0
general_litigation,0.0
all_track,0.0
all_course,0.0
home_automation,0.0
all_instructor,0.0
all_decor,0.0
grain_elevators,0.0
all_companies,0.0
hiking_trail,0.0
gun_and_ammo,0.0
hematology,0.0
hair_extensions,0.0
hearing_aids,0.0
horse_riding,0.0
furniture_assembly,0.0
general_festivals,0.0
general_dentistry,0.0
furniture_reupholstery,0.0
hair_stylist,0.0
importers,0.0
furniture_wholesalers,0.0
gardener,0.0
all_rink,0.0
gastroenterologist,0.0
gastropub,0.0
gelato,0.0
all_gardening,0.0
housing_cooperative,0.0
genealogists,0.0
housing_authorities,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
hospice,0.0
marina,0.0
engraving,0.0
matchmaker,0.0
skilled_nursing,0.0
sign_making,0.0
shutters,0.0
shades_and_blinds,0.0
all_therapist,0.0
sewing_and_alterations,0.0
security_systems,0.0
sculpture_statue,0.0
all_instruction,0.0
rugby_pitch,0.0
speakeasy,0.0
rock_climbing_spot,0.0
restaurant_wholesale,0.0
all_resort,0.0
reiki,0.0
reflexology,0.0
record_label,0.0
railroad_freight,0.0
radiologist,0.0
radio_and_television_commercials,0.0
quay,0.0
psychotherapist,0.0
river,0.0
spray_tanning,0.0
steel_fabricators,0.0
stone_and_masonry,0.0
wildlife_sanctuary,0.0
wholesale_grocer,0.0
waxing,0.0
waterproofing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
used_vintage_and_consignment,0.0
urologist,0.0
university_housing,0.0
trains,0.0
tiling,0.0
ticket_sales,0.0
theatrical_productions,0.0
theaters_and_performance_venues,0.0
television_service_providers,0.0
teeth_whitening,0.0
tattoo,0.0
synagogue,0.0
superstore,0.0
studio_taping,0.0
structure_and_geography,0.0
structural_engineer,0.0
psychic_medium,0.0
masonry_concrete,0.0
psychic,0.0
process_servers,0.0
orthopedist,0.0
orthodontist,0.0
ophthalmologist,0.0
oil_refiners,0.0
oil_and_gas,0.0
all_fair,0.0
obstetrician_and_gynecologist,0.0
observatory,0.0
nutritionist,0.0
nurse_practitioner,0.0
osteopath,0.0
notary_public,0.0
naturopathic_holistic,0.0
nature_reserve,0.0
mountain,0.0
motor_freight_trucking,0.0
mosque,0.0
mortgage_lender,0.0
all_metals,0.0
metal_fabricator,0.0
mediator,0.0
media_news_website,0.0
neurologist,0.0
osteopathic_physician,0.0
outdoor_gear,0.0
paint_your_own_pottery,0.0
private_tutor,0.0
private_jet_charters,0.0
private_equity_firm,0.0
all_washing,0.0
all_billiards,0.0
playground,0.0
plasterer,0.0
planetarium,0.0
pier,0.0
all_zoo,0.0
pets,0.0
pet_groomer,0.0
pet_breeder,0.0
personal_chef,0.0
personal_assistant,0.0
permanent_makeup,0.0
pension,0.0
pediatrician,0.0
patio_covers,0.0
all_mill,0.0
palace,0.0
painting,0.0
paintball,0.0
psychiatrist,0.0
occupational_safety,0.0
winery,0.0
all_camp,0.0
all_class,0.0
bowling_alley,0.0
boutique,0.0
all_photography,0.0
exporters,0.0
books_mags_music_and_video,0.0
bookkeeper,0.0
brasserie,0.0
bookbinding,0.0
all_charter,0.0
all_offices,0.0
beer_wine_and_spirits,0.0
all_garden,0.0
airport_shuttles,0.0
beach,0.0
bathtub_and_sink_repairs,0.0
all_training,0.0
all_remodeling,0.0
bridge,0.0
bubble_tea,0.0
all_tinting,0.0
car_wash,0.0
all_inspector,0.0
all_buyer,0.0
canal,0.0
campground,0.0
cafetaria,0.0
all_brokers,0.0
cabin,0.0
all_schools,0.0
business_office_supplies_and_stationery,0.0
all_supply,0.0
all_manufacturer,0.0
airline,0.0
builders,0.0
all_temple,0.0
all_range,0.0
all_stores,0.0
all_stadium,0.0
all_field,0.0
all_insurance,0.0
auto_detailing,0.0
auto_customization,0.0
all_team,0.0
auditorium,0.0
audiologist,0.0
attractions_and_activities,0.0
all_centers,0.0
atms,0.0
all_shelter,0.0
aquarium,0.0
all_restoration,0.0
aromatherapy,0.0
armed_forces_branch,0.0
architecture,0.0
arcade,0.0
astrologer,0.0
auto_manufacturers_and_distributors,0.0
auto_upholstery,0.0
automobile_leasing,0.0
bartender,0.0
all_classes,0.0
airport_terminal,0.0
all_court,0.0
baby_gear_and_furniture,0.0
b2b_textiles,0.0
b2b_rubber_and_plastics,0.0
b2b_jewelers,0.0
b2b_hardware,0.0
b2b_furniture_and_housewares,0.0
all_dealers,0.0
b2b_food_products,0.0
all_mining,0.0
all_equipment,0.0
b2b_apparel,0.0
all_accessories,0.0
automotive,0.0
cardiologist,0.0
all_counseling,0.0
business_signage,0.0
coach_bus,0.0
all_laboratories,0.0
drugstore,0.0
