feature,mean_importance
accountant,-7.25830805117863e-06
key_and_locksmith,-2.266784912113379e-06
all_spa,-1.1673252886354971e-06
all_security,-1.144747333958717e-06
all_total_area,-9.351532332372842e-07
acupuncture,-8.583015498506147e-07
shopping,-6.245959747505284e-07
all_pub,-4.0855345521584366e-07
all_store,-3.518287923234695e-07
all_restaurant,-3.4830715630028317e-07
all_salon,-2.548637689842422e-07
all_arena,-2.399890584325919e-07
all_cafe,-1.9096706841448567e-07
all_trainer,-1.5636726676717116e-07
office_avg_building_area,-1.3129031521350324e-07
active_life,-1.284869333521331e-07
retail_avg_building_area,-1.0867588542547396e-07
commercial_total_area,-9.846234286313536e-08
all_bar,-9.817690743642749e-08
junk_removal_and_hauling,-9.75485958005102e-08
supermarket,-7.278212606244019e-08
church_cathedral,-7.214583223246678e-08
health_and_medical,-6.632612920835952e-08
all_repair,-6.46994458554709e-08
residential_total_area,-5.656037594662695e-08
art_gallery,-5.2811749626572015e-08
barber,-4.7990367941544397e-08
all_design,-4.19279601535376e-08
all_dealer,-3.492513419573579e-08
all_room,-2.8958983885809132e-08
all_department,-2.4664892696416333e-08
all_cleaning,-2.398142896729849e-08
gardener,-2.338944210069537e-08
all_garden,-2.003791855217181e-08
travel,-1.8596941802180795e-08
all_photography,-1.745017750609025e-08
commercial_industrial,-1.6222268112453283e-08
all_supply,-1.5697010715105354e-08
luggage_storage,-1.4717128533045293e-08
land_surveying,-1.3706634872229488e-08
theatrical_productions,-1.2867779449135942e-08
roofing,-1.275785764134847e-08
financial_advising,-1.2449369377011062e-08
all_preschool,-1.1821056259843214e-08
all_fair,-1.1664842675525268e-08
bakery,-1.1046083123279e-08
b2b_science_and_technology,-1.1010192929591999e-08
car_wash,-1.0990201041091165e-08
kiosk,-9.561440093074449e-09
jail_and_prison,-9.013242800322264e-09
all_avg_building_area,-8.787577283816137e-09
casino,-8.581587765277439e-09
all_rink,-8.07882264613547e-09
food_stand,-7.987638078646009e-09
all_supplies,-7.609565478582688e-09
all_studio,-7.442252746013599e-09
monument,-7.407096558423873e-09
sign_making,-7.397484844777198e-09
all_goods,-7.1052182490377464e-09
desserts,-6.2372272977188695e-09
all_remodeling,-6.0068798746982435e-09
all_facility,-5.8462768572897504e-09
cafetaria,-5.844290238504692e-09
automotive,-5.616718364298827e-09
arts_and_crafts,-5.5051228817627576e-09
airport_terminal,-5.470858657973486e-09
naturopathic_holistic,-5.165629302851158e-09
all_consultant,-4.9861964727823885e-09
all_club,-4.090421731569368e-09
b2b_jewelers,-3.637816555011452e-09
all_counseling,-3.4568032914209998e-09
cinema,-3.1268178804006634e-09
all_organization,-2.451035672393473e-09
winery,-2.2831566344491227e-09
orthodontist,-2.144979965441028e-09
family_practice,-1.8936887125387577e-09
podiatrist,-1.6069786132772443e-09
optometrist,-1.2007860645239397e-09
dermatologist,-1.1815679184606865e-09
chocolatier,-1.1416916927966483e-09
library,-1.0326262221186884e-09
nutritionist,-1.031617549291351e-09
condominium,-1.0072727989627532e-09
all_loans,-9.261330560957071e-10
all_distribution,-9.246124413743277e-10
swimming_pool,-9.054070227454696e-10
fountain,-4.759987930398092e-10
electronics,-4.532327147418222e-10
all_food,-4.4481669281650796e-10
all_camp,-4.159555889735934e-10
all_bookstore,-4.0929199896232473e-10
structural_engineer,-3.657173854214129e-10
eyewear_and_optician,-3.4975632312101354e-10
hearing_aids,-2.882186512701392e-10
performing_arts,-2.499387849680748e-10
all_temple,-2.0449975555449865e-10
veterinarian,-1.996288697336205e-10
all_broker,-1.9025641948526443e-10
airport,-1.8235269765812679e-10
trusts,-1.371525870888404e-10
estate_liquidation,-9.514206923249549e-11
all_league,-8.588980739062139e-11
all_brokers,-8.543593222346208e-11
shades_and_blinds,-8.3304490153366e-11
all_team,-5.796222784100165e-11
plumbing,-5.4037619493549174e-11
all_business,-2.273784562598167e-11
armed_forces_branch,-1.0378396894054204e-11
all_boarding,0.0
home_developer,0.0
home_automation,0.0
all_home,0.0
all_decor,0.0
pet_breeder,0.0
structure_and_geography,0.0
stone_and_masonry,0.0
hiking_trail,0.0
hematology,0.0
tattoo,0.0
all_coach,0.0
all_companies,0.0
superstore,0.0
hospice,0.0
teeth_whitening,0.0
sewing_and_alterations,0.0
all_therapist,0.0
jazz_and_blues,0.0
iron_work,0.0
importers,0.0
shutters,0.0
horse_riding,0.0
speakeasy,0.0
ice_cream_and_frozen_yoghurt,0.0
all_gardening,0.0
housing_cooperative,0.0
housing_authorities,0.0
hot_tubs_and_pools,0.0
steel_fabricators,0.0
spray_tanning,0.0
hair_replacement,0.0
hair_extensions,0.0
gun_and_ammo,0.0
all_exporter,0.0
all_agents,0.0
all_florist,0.0
urologist,0.0
all_contractors,0.0
fishmonger,0.0
vitamins_and_supplements,0.0
trains,0.0
firework_retailer,0.0
waterproofing,0.0
fashion,0.0
all_market,0.0
waxing,0.0
all_counselor,0.0
wholesale_grocer,0.0
wildlife_sanctuary,0.0
warehouses,0.0
security_systems,0.0
food_truck,0.0
all_foods,0.0
