feature,mean_importance
all_florist,-8.569837835655724e-07
all_designer,-4.6602055801036466e-07
retail,-3.2581528302521784e-07
college_university,-3.053951435596594e-07
record_label,-2.926566416009946e-07
all_psychologist,-2.3785937237082693e-07
all_media,-2.313751406186353e-07
all_pub,-2.037508754185726e-07
all_design,-2.0030253951746319e-07
all_repair,-1.6868227382781103e-07
active_life,-1.6627184859372142e-07
accountant,-1.5907696186139453e-07
all_space,-1.4760952426900205e-07
all_clinic,-1.3585997952622272e-07
all_management,-1.3320921078079328e-07
spas,-1.331472140848449e-07
all_club,-1.2972624221500686e-07
num_buildings,-1.2299867809113211e-07
all_spa,-1.2193516941391124e-07
karaoke,-1.0038925226833477e-07
all_loans,-9.87224007727138e-08
all_equipment,-9.112744875588066e-08
all_company,-8.977972278528745e-08
all_piercing,-8.322588678810308e-08
eat_and_drink,-7.990592928781672e-08
airport_shuttles,-7.202081257806069e-08
hair_stylist,-7.162537535411131e-08
all_resort,-5.845452867457899e-08
fashion,-5.391212900040848e-08
all_contractor,-4.6297426296170474e-08
gastropub,-3.874863075450027e-08
all_transportation,-3.609549304083311e-08
all_training,-3.5669039344906267e-08
all_hospital,-3.535198133283488e-08
steakhouse,-3.309378683060731e-08
optometrist,-2.993633011512528e-08
used_vintage_and_consignment,-2.7478253413904795e-08
all_architect,-2.6816098384798146e-08
embassy,-2.6789649769545884e-08
all_hall,-2.4188191935176297e-08
parking,-2.4177972262907345e-08
family_practice,-2.2674277158686607e-08
all_restaurant,-2.1903213856674322e-08
all_school,-2.0611532521245113e-08
all_consultants,-1.958010397161875e-08
all_market,-1.918938259574341e-08
electrician,-1.8380287911559608e-08
hostel,-1.7183604872914386e-08
all_preschool,-1.667441849887634e-08
public_service_and_government,-1.5724364700425675e-08
all_classes,-1.4232089953664535e-08
all_institute,-1.4141566692000983e-08
all_supplies,-1.3794240985834421e-08
all_manufacturers,-1.207758397330061e-08
all_surgeon,-1.1781659325581614e-08
nutritionist,-1.1023239732322513e-08
all_organizations,-1.0988360293311947e-08
furniture_wholesalers,-8.254951159351279e-09
