feature,mean_importance
all_provider,-1.5583021599756363e-06
all_security,-1.0490000277319932e-06
fashion,-9.346646600333526e-07
supermarket,-8.491472350834834e-07
all_agencies,-5.73242644992277e-07
eat_and_drink,-5.422825952352699e-07
commercial_total_area,-3.8992105230733504e-07
parking,-2.9762044708941753e-07
fruits_and_vegetables,-2.8227919173025076e-07
all_trainer,-2.758401910783818e-07
all_supply,-2.580148060295204e-07
all_services,-2.5255754490420213e-07
key_and_locksmith,-2.4204458404554223e-07
health_and_medical,-2.2011252968319932e-07
commercial_avg_building_area,-2.1990219189048935e-07
residential_total_area,-2.0829387692764923e-07
musician,-1.7520046182958914e-07
notary_public,-1.4336958859447727e-07
all_space,-1.4306784381486285e-07
all_manufacturers,-1.4188956546130898e-07
all_clinic,-1.0804457690138746e-07
electrician,-1.0763967775213624e-07
all_education,-1.0698200132747436e-07
office_total_area,-1.0568031987095126e-07
all_station,-1.0149052884743256e-07
airport_shuttles,-9.711830448306233e-08
all_medicine,-9.434053269371965e-08
all_photography,-9.191442410203959e-08
donuts,-9.062926601327624e-08
theatre,-8.502237954264115e-08
record_label,-8.332454338061694e-08
residential_lsoa_area_ratio,-8.207103741594075e-08
residential_avg_building_area,-8.010241483560795e-08
all_removal,-7.688216908580722e-08
all_lounge,-6.503738258745548e-08
all_spa,-5.4571094248198444e-08
all_transportation,-5.1155641836748564e-08
all_department,-4.420264546178544e-08
b2b_science_and_technology,-3.0937469328853536e-08
all_arena,-3.012640375249672e-08
linen,-2.6659711880551906e-08
all_restaurant,-2.379617691105376e-08
hypnosis_hypnotherapy,-1.5812265955596824e-08
all_room,-1.2791991839381411e-08
all_management,-1.2064298925175952e-08
bridge,-1.1249098833874638e-08
security_systems,-1.0928104187847152e-08
all_rentals,-1.0365961669321134e-08
opera_and_ballet,-9.773778091536327e-09
stone_and_masonry,-4.461713482680418e-09
hair_stylist,-4.0994204495686915e-09
hostel,-3.7069690932075044e-09
all_distribution,-2.790367605540482e-09
all_counseling,-2.750448801034516e-09
all_instructor,-6.292235073555646e-10
tattoo,-4.1796667053366515e-10
jazz_and_blues,0.0
jail_and_prison,0.0
matchmaker,0.0
iron_work,0.0
all_landscaping,0.0
importers,0.0
all_rink,0.0
ice_cream_and_frozen_yoghurt,0.0
masonry_concrete,0.0
all_gardening,0.0
housing_cooperative,0.0
iron_and_steel_industry,0.0
junkyard,0.0
all_goods,0.0
library,0.0
media_news_website,0.0
law_enforcement,0.0
laser_tag,0.0
lodge,0.0
laser_eye_surgery_lasik,0.0
land_surveying,0.0
lake,0.0
laboratory,0.0
kitchen_and_bath,0.0
kiosk,0.0
lottery_ticket,0.0
kids_recreation_and_party,0.0
magician,0.0
karaoke,0.0
marble_and_granite_professionals,0.0
marina,0.0
all_therapy,0.0
engraving,0.0
all_sitting,0.0
furniture_wholesalers,0.0
furniture_reupholstery,0.0
furniture_assembly,0.0
all_foods,0.0
fountain,0.0
food_truck,0.0
food_stand,0.0
all_exporter,0.0
all_food,0.0
all_florist,0.0
gardener,0.0
all_contractors,0.0
firework_retailer,0.0
financial_advising,0.0
fertility,0.0
family_practice,0.0
all_counselor,0.0
all_fair,0.0
eyewear_and_optician,0.0
exporters,0.0
estate_liquidation,0.0
escape_rooms,0.0
fishmonger,0.0
gastroenterologist,0.0
gastropub,0.0
gelato,0.0
hot_tubs_and_pools,0.0
hospice,0.0
horse_riding,0.0
all_boarding,0.0
home_automation,0.0
all_home,0.0
all_decor,0.0
all_companies,0.0
hiking_trail,0.0
hematology,0.0
all_coach,0.0
mediator,0.0
handyman,0.0
hair_replacement,0.0
hair_extensions,0.0
gun_and_ammo,0.0
grain_elevators,0.0
all_course,0.0
all_track,0.0
general_litigation,0.0
general_festivals,0.0
general_dentistry,0.0
genealogists,0.0
housing_authorities,0.0
metal_fabricator,0.0
nutritionist,0.0
monument,0.0
speakeasy,0.0
skilled_nursing,0.0
sign_making,0.0
shutters,0.0
shopping,0.0
shades_and_blinds,0.0
all_therapist,0.0
sewing_and_alterations,0.0
sculpture_statue,0.0
all_instruction,0.0
screen_printing_t_shirt_printing,0.0
spray_tanning,0.0
rugby_pitch,0.0
rock_climbing_spot,0.0
river,0.0
retail,0.0
restaurant_wholesale,0.0
all_resort,0.0
reiki,0.0
reflexology,0.0
real_estate_investment,0.0
railroad_freight,0.0
radiologist,0.0
radio_and_television_commercials,0.0
roofing,0.0
quay,0.0
steakhouse,0.0
structural_engineer,0.0
wildlife_sanctuary,0.0
wholesale_grocer,0.0
waxing,0.0
waterproofing,0.0
warehouses,0.0
vitamins_and_supplements,0.0
videographer,0.0
urologist,0.0
university_housing,0.0
all_agents,0.0
trains,0.0
steel_fabricators,0.0
tiling,0.0
theatrical_productions,0.0
theaters_and_performance_venues,0.0
test_preparation,0.0
television_service_providers,0.0
