feature,mean_importance
all_media,-1.3784053801201912e-07
nutritionist,-1.3429674252262268e-07
all_space,-1.1816983105478626e-07
handyman,-1.0831777648086338e-07
business_consulting,-1.0556766316008153e-07
retail_total_area,-8.806026244780882e-08
all_estate,-5.702549511387559e-08
naturopathic_holistic,-2.434561791376749e-08
movers,-2.196319119056813e-08
airlines,-1.566375337475176e-08
all_rental,-1.3552527156068806e-21
all_brokers,-1.3552527156068806e-21
railroad_freight,-6.776263578034403e-22
active_life,-6.776263578034403e-22
food_stand,-6.776263578034403e-22
gastroenterologist,-6.776263578034403e-22
motor_freight_trucking,-6.776263578034403e-22
parking,-6.776263578034403e-22
tiling,-6.776263578034403e-22
all_union,-6.776263578034403e-22
television_service_providers,-6.776263578034403e-22
all_dentist,-6.776263578034403e-22
campground,-6.776263578034403e-22
embassy,-6.776263578034403e-22
private_investigation,-6.776263578034403e-22
general_dentistry,-6.776263578034403e-22
caterer,-6.776263578034403e-22
armed_forces_branch,-6.776263578034403e-22
fruits_and_vegetables,-6.776263578034403e-22
bathtub_and_sink_repairs,-6.776263578034403e-22
residential_avg_building_area,-6.776263578034403e-22
all_preschool,-6.776263578034403e-22
videographer,-6.776263578034403e-22
all_inspector,-6.776263578034403e-22
car_wash,0.0
opera_and_ballet,0.0
business_signage,0.0
outdoor_gear,0.0
paint_your_own_pottery,0.0
all_cafe,0.0
cafetaria,0.0
ophthalmologist,0.0
all_broker,0.0
orthopedist,0.0
osteopath,0.0
cabin,0.0
ethical_grocery,0.0
gun_and_ammo,0.0
all_mill,0.0
hostel,0.0
plumbing,0.0
hot_tubs_and_pools,0.0
bookbinding,0.0
bookkeeper,0.0
family_practice,0.0
all_sitting,0.0
all_fair,0.0
pharmacy,0.0
housing_authorities,0.0
bowling_alley,0.0
pet_breeder,0.0
housing_cooperative,0.0
all_gym,0.0
permanent_makeup,0.0
all_planning,0.0
bridge,0.0
pension,0.0
all_instructor,0.0
oil_refiners,0.0
builders,0.0
patio_covers,0.0
all_business,0.0
business_office_supplies_and_stationery,0.0
cardiologist,0.0
chemical_plant,0.0
obstetrician_and_gynecologist,0.0
courthouse,0.0
cricket_ground,0.0
marina,0.0
all_farm,0.0
all_wear,0.0
iron_and_steel_industry,0.0
lodge,0.0
library,0.0
all_goods,0.0
diagnostic_imaging,0.0
counseling_and_mental_health,0.0
endocrinologist,0.0
jail_and_prison,0.0
doctor,0.0
jazz_and_blues,0.0
junk_removal_and_hauling,0.0
doner_kebab,0.0
lake,0.0
drugstore,0.0
laboratory,0.0
kiosk,0.0
kids_recreation_and_party,0.0
diner,0.0
cottage,0.0
all_consultants,0.0
all_wholesaler,0.0
cave,0.0
all_association,0.0
neurologist,0.0
all_organization,0.0
all_loans,0.0
all_offices,0.0
all_care,0.0
all_massage,0.0
chocolatier,0.0
church_cathedral,0.0
all_engineers,0.0
mosque,0.0
all_laboratories,0.0
mortgage_lender,0.0
wills_trusts_and_probate,0.0
all_supplies,0.0
metal_fabricator,0.0
media_news_website,0.0
commercial_industrial,0.0
commercial_printer,0.0
matchmaker,0.0
all_therapy,0.0
computer_coaching,0.0
oil_and_gas,0.0
fertility,0.0
all_rentals,0.0
beer_wine_and_spirits,0.0
tattoo,0.0
airline,0.0
airport,0.0
synagogue,0.0
swimming_pool,0.0
airport_terminal,0.0
all_centers,0.0
all_contractor,0.0
all_medicine,0.0
all_league,0.0
all_team,0.0
all_park,0.0
supermarket,0.0
all_coach,0.0
all_studio,0.0
all_agent,0.0
all_apartments,0.0
aquarium,0.0
arcade,0.0
all_range,0.0
all_architect,0.0
structural_engineer,0.0
financial_advising,0.0
all_manufacturer,0.0
telecommunications,0.0
agriculture,0.0
all_program,0.0
wildlife_sanctuary,0.0
waxing,0.0
waterproofing,0.0
all_track,0.0
vitamins_and_supplements,0.0
commercial_avg_building_area,0.0
general_litigation,0.0
commercial_total_area,0.0
used_vintage_and_consignment,0.0
office_lsoa_area_ratio,0.0
office_total_area,0.0
aromatherapy,0.0
retail_avg_building_area,0.0
general_festivals,0.0
hair_stylist,0.0
all_accommodation,0.0
travel,0.0
trains,0.0
acupuncture,0.0
ticket_sales,0.0
all_entertainment,0.0
all_store,0.0
theatre,0.0
theaters_and_performance_venues,0.0
urologist,0.0
art_gallery,0.0
junkyard,0.0
all_restoration,0.0
all_exporter,0.0
all_food,0.0
all_mining,0.0
all_psychologist,0.0
all_resort,0.0
all_dealers,0.0
reiki,0.0
reflexology,0.0
all_florist,0.0
radiologist,0.0
b2b_textiles,0.0
hospice,0.0
all_court,0.0
bakery,0.0
all_stores,0.0
fishmonger,0.0
banks,0.0
all_bar,0.0
public_service_and_government,0.0
all_classes,0.0
bartender,0.0
all_accessories,0.0
firework_retailer,0.0
automotive,0.0
auto_upholstery,0.0
all_department,0.0
arts_and_crafts,0.0
psychiatrist,0.0
all_facility,0.0
psychic,0.0
spray_tanning,0.0
all_decor,0.0
key_and_locksmith,0.0
attractions_and_activities,0.0
automobile_leasing,0.0
skilled_nursing,0.0
shopping,0.0
funeral_services_and_cemeteries,0.0
all_foods,0.0
home_automation,0.0
auto_customization,0.0
screen_printing_t_shirt_printing,0.0
psychic_medium,0.0
river,0.0
all_security,0.0
furniture_assembly,0.0
all_stadium,0.0
hair_extensions,6.776263578034403e-22
health_and_medical,6.776263578034403e-22
all_arena,6.776263578034403e-22
home_developer,6.776263578034403e-22
all_pub,6.776263578034403e-22
all_rink,6.776263578034403e-22
hypnosis_hypnotherapy,6.776263578034403e-22
ice_cream_and_frozen_yoghurt,6.776263578034403e-22
all_companies,6.776263578034403e-22
iron_work,6.776263578034403e-22
hiking_trail,6.776263578034403e-22
num_buildings,6.776263578034403e-22
land_surveying,6.776263578034403e-22
real_estate_investment,6.776263578034403e-22
restaurant_wholesale,6.776263578034403e-22
retail,6.776263578034403e-22
roofing,6.776263578034403e-22
rugby_pitch,6.776263578034403e-22
all_instruction,6.776263578034403e-22
sculpture_statue,6.776263578034403e-22
security_systems,6.776263578034403e-22
all_therapist,6.776263578034403e-22
sign_making,6.776263578034403e-22
speakeasy,6.776263578034403e-22
radio_and_television_commercials,6.776263578034403e-22
steakhouse,6.776263578034403e-22
stone_and_masonry,6.776263578034403e-22
studio_taping,6.776263578034403e-22
superstore,6.776263578034403e-22
test_preparation,6.776263578034403e-22
theatrical_productions,6.776263578034403e-22
all_agents,6.776263578034403e-22
trusts,6.776263578034403e-22
university_housing,6.776263578034403e-22
veterinarian,6.776263578034403e-22
warehouses,6.776263578034403e-22
wholesale_grocer,6.776263578034403e-22
steel_fabricators,6.776263578034403e-22
karaoke,6.776263578034403e-22
quay,6.776263578034403e-22
private_jet_charters,6.776263578034403e-22
laser_tag,6.776263578034403e-22
laundromat,6.776263578034403e-22
law_enforcement,6.776263578034403e-22
lawyer,6.776263578034403e-22
linen,6.776263578034403e-22
luggage_storage,6.776263578034403e-22
masonry_concrete,6.776263578034403e-22
all_metals,6.776263578034403e-22
mountain,6.776263578034403e-22
all_venue,6.776263578034403e-22
nature_reserve,6.776263578034403e-22
psychotherapist,6.776263578034403e-22
notary_public,6.776263578034403e-22
palace,6.776263578034403e-22
performing_arts,6.776263578034403e-22
personal_assistant,6.776263578034403e-22
all_zoo,6.776263578034403e-22
pier,6.776263578034403e-22
all_piercing,6.776263578034403e-22
plasterer,6.776263578034403e-22
all_plaza,6.776263578034403e-22
all_billiards,6.776263578034403e-22
all_washing,6.776263578034403e-22
private_equity_firm,6.776263578034403e-22
nurse_practitioner,6.776263578034403e-22
pediatrician,6.776263578034403e-22
engraving,6.776263578034403e-22
all_course,6.776263578034403e-22
all_charter,6.776263578034403e-22
all_training,6.776263578034403e-22
all_distribution,6.776263578034403e-22
books_mags_music_and_video,6.776263578034403e-22
all_camp,6.776263578034403e-22
boutique,6.776263578034403e-22
all_class,6.776263578034403e-22
all_club,6.776263578034403e-22
brasserie,6.776263578034403e-22
brewery,6.776263578034403e-22
bubble_tea,6.776263578034403e-22
all_advertising,6.776263578034403e-22
all_supply,6.776263578034403e-22
all_hall,6.776263578034403e-22
grain_elevators,6.776263578034403e-22
canal,6.776263578034403e-22
all_installation,6.776263578034403e-22
all_tinting,6.776263578034403e-22
all_surgeon,6.776263578034403e-22
all_counseling,6.776263578034403e-22
carpenter,6.776263578034403e-22
all_cleaning,6.776263578034403e-22
casino,6.776263578034403e-22
chimney_sweep,6.776263578034403e-22
chiropractor,6.776263578034403e-22
christmas_trees,6.776263578034403e-22
circus,6.776263578034403e-22
civil_rights_lawyers,6.776263578034403e-22
all_schools,6.776263578034403e-22
bike_repair_maintenance,6.776263578034403e-22
bed_and_breakfast,6.776263578034403e-22
all_salon,6.776263578034403e-22
population,6.776263578034403e-22
residential_lsoa_area_ratio,6.776263578034403e-22
residential_total_area,6.776263578034403e-22
all_service,6.776263578034403e-22
all_clinic,6.776263578034403e-22
accountant,6.776263578034403e-22
all_center,6.776263578034403e-22
all_education,6.776263578034403e-22
all_restaurant,6.776263578034403e-22
all_supplier,6.776263578034403e-22
all_repair,6.776263578034403e-22
all_church,6.776263578034403e-22
all_shelter,6.776263578034403e-22
architecture,6.776263578034403e-22
all_school,6.776263578034403e-22
astrologer,6.776263578034403e-22
atms,6.776263578034403e-22
all_design,6.776263578034403e-22
audiologist,6.776263578034403e-22
auditorium,6.776263578034403e-22
auto_detailing,6.776263578034403e-22
all_insurance,6.776263578034403e-22
auto_manufacturers_and_distributors,6.776263578034403e-22
b2b_furniture_and_housewares,6.776263578034403e-22
b2b_jewelers,6.776263578034403e-22
b2b_rubber_and_plastics,6.776263578034403e-22
baby_gear_and_furniture,6.776263578034403e-22
all_field,6.776263578034403e-22
all_remodeling,6.776263578034403e-22
coach_bus,6.776263578034403e-22
commercial_refrigeration,6.776263578034403e-22
all_management,6.776263578034403e-22
electrician,6.776263578034403e-22
exporters,6.776263578034403e-22
desserts,6.776263578034403e-22
distillery,6.776263578034403e-22
gardener,6.776263578034403e-22
estate_liquidation,6.776263578034403e-22
escape_rooms,6.776263578034403e-22
dog_walkers,6.776263578034403e-22
dermatologist,6.776263578034403e-22
all_organizations,6.776263578034403e-22
furniture_reupholstery,6.776263578034403e-22
eat_and_drink,6.776263578034403e-22
eatertainment,6.776263578034403e-22
all_businesses,6.776263578034403e-22
energy_equipment_and_solution,6.776263578034403e-22
endodontist,6.776263578034403e-22
emissions_inspection,6.776263578034403e-22
all_artist,6.776263578034403e-22
gastropub,6.776263578034403e-22
all_manufacturers,6.776263578034403e-22
delicatessen,6.776263578034403e-22
food_truck,6.776263578034403e-22
all_contractors,6.776263578034403e-22
condominium,6.776263578034403e-22
currency_exchange,6.776263578034403e-22
fountain,6.776263578034403e-22
all_counselor,6.776263578034403e-22
embroidery_and_crochet,6.776263578034403e-22
genealogists,6.776263578034403e-22
all_gardening,1.3552527156068806e-21
all_boarding,1.3552527156068806e-21
podiatrist,1.3552527156068806e-21
all_equipment,1.3552527156068806e-21
shades_and_blinds,1.3552527156068806e-21
all_garden,1.3552527156068806e-21
all_dealer,1.3552527156068806e-21
fashion,1.3552527156068806e-21
sewing_and_alterations,1.3552527156068806e-21
private_tutor,1.3552527156068806e-21
teeth_whitening,1.3552527156068806e-21
all_landscaping,1.3552527156068806e-21
b2b_apparel,1.3552527156068806e-21
b2b_hardware,1.3552527156068806e-21
all_market,1.3552527156068806e-21
b2b_food_products,1.3552527156068806e-21
airport_shuttles,1.3552527156068806e-21
barber,1.3552527156068806e-21
eyewear_and_optician,1.3552527156068806e-21
all_law,1.3552527156068806e-21
structure_and_geography,1.3552527156068806e-21
b2b_science_and_technology,1.3552527156068806e-21
playground,1.3552527156068806e-21
all_hospital,1.3552527156068806e-21
all_testing,1.3552527156068806e-21
importers,1.3552527156068806e-21
all_bookstore,1.3552527156068806e-21
all_buyer,1.3552527156068806e-21
dietitian,1.3552527156068806e-21
abuse_and_addiction_treatment,1.3552527156068806e-21
gelato,1.3552527156068806e-21
all_clothing,1.3552527156068806e-21
data_recovery,1.3552527156068806e-21
magician,1.3552527156068806e-21
musician,1.3552527156068806e-21
choir,1.3552527156068806e-21
marble_and_granite_professionals,1.3552527156068806e-21
cinema,1.3552527156068806e-21
hair_replacement,1.3552527156068806e-21
monument,1.3552527156068806e-21
all_total_area,1.3552527156068806e-21
all_avg_building_area,1.3552527156068806e-21
all_removal,1.3552527156068806e-21
mediator,1.3552527156068806e-21
planetarium,1.3552527156068806e-21
all_trainer,1.3552527156068806e-21
orthodontist,1.3552527156068806e-21
osteopathic_physician,1.3552527156068806e-21
furniture_wholesalers,1.3552527156068806e-21
all_photography,1.3552527156068806e-21
horse_riding,1.3552527156068806e-21
pets,1.3552527156068806e-21
pet_groomer,1.3552527156068806e-21
all_institute,1.3552527156068806e-21
personal_chef,1.3552527156068806e-21
kitchen_and_bath,1.3552527156068806e-21
hearing_aids,1.3552527156068806e-21
ear_nose_and_throat,1.3552527156068806e-21
all_temple,1.3552527156068806e-21
all_station,1.3552527156068806e-21
hematology,1.3552527156068806e-21
laser_eye_surgery_lasik,1.3552527156068806e-21
painting,1.3552527156068806e-21
paintball,1.3552527156068806e-21
all_transportation,1.3552527156068806e-21
spas,1.3552527156068806e-21
all_lounge,2.0328790734103207e-21
all_museum,2.0328790734103207e-21
