feature,mean_importance
all_surgeon,-0.662169301403581
all_hospital,-0.5866164592103391
all_dentist,-0.3658136430948797
counseling_and_mental_health,-0.2247691368340675
ophthalmologist,-0.17771822309970647
obstetrician_and_gynecologist,-0.12114239312690347
doctor,-0.10641973293312565
hypnosis_hypnotherapy,-0.09559543076528425
all_organizations,-0.06441279827680182
health_and_medical,-0.06222751241911149
all_care,-0.055664116137108845
neurologist,-0.051597444588372496
commercial_lsoa_area_ratio,-0.05117034321280798
all_school,-0.050081469885453256
fertility,-0.0378191508643515
hearing_aids,-0.03670978411269812
general_dentistry,-0.0359161706906657
orthopedist,-0.03516996834853194
family_practice,-0.03511638396269397
psychiatrist,-0.03254199562507565
all_therapy,-0.0318082053481894
reiki,-0.03072589162481836
dietitian,-0.02783495800166049
all_home,-0.026185202348365123
all_medicine,-0.02170113794184223
all_avg_building_area,-0.0198576172043027
all_cleaning,-0.018291188713905848
all_counselor,-0.017487532168295638
all_gym,-0.01692983739893932
energy_equipment_and_solution,-0.016877772847575523
all_design,-0.013741522234032555
all_building,-0.013080508539643354
all_studio,-0.012910742354254223
permanent_makeup,-0.012497113596069332
waxing,-0.01178733200420865
theatre,-0.011768716475019448
osteopathic_physician,-0.01079777523495884
hotel,-0.010491740097894863
all_organization,-0.009330148980251484
all_supply,-0.009232762284158013
performing_arts,-0.008967553538154593
movers,-0.008708554733086783
all_schools,-0.008243519159900315
donuts,-0.008233421926940699
all_center,-0.008000657909386177
orthodontist,-0.007769253839556356
financial_advising,-0.007503586274975893
accountant,-0.007369782957522375
all_repair,-0.007313732191398659
all_transportation,-0.007087948351845652
all_management,-0.0068689030787718154
all_department,-0.006693586930710804
all_venue,-0.006459473300873953
all_association,-0.005883164643343352
all_estate,-0.00577172169554876
all_apartments,-0.005345221069535633
karaoke,-0.005302015682030303
gastroenterologist,-0.005202337094424703
auditorium,-0.005048365837556856
art_gallery,-0.005019968209296399
all_facility,-0.004855631422136986
all_companies,-0.004773729937051474
paint_your_own_pottery,-0.004620605228474339
all_development,-0.0045854815736375175
airport_terminal,-0.004531921116782289
all_advertising,-0.004457584589207997
residential_total_area,-0.004420593148967145
