feature,mean_importance
all_league,-0.0006125099893175834
all_station,-0.0006124872068099474
all_company,-0.0005758751603229473
office_avg_building_area,-0.0004398973095452563
office_lsoa_area_ratio,-0.0004006741000829983
all_agency,-0.0003797569144324775
all_rental,-0.00032238366396397655
all_service,-0.0003055626382374388
all_transportation,-0.0002972233270059577
all_development,-0.0002809943474867627
all_plaza,-0.00027817871015159976
hair_stylist,-0.0002740701964096592
automotive,-0.0002659461884534198
travel,-0.0001898856478650235
lodge,-0.00017953259190461868
b2b_science_and_technology,-0.00016806862731736928
all_production,-0.00016795268910736462
structure_and_geography,-0.00014716312349947192
residential_total_area,-0.0001344218730012503
all_landscaping,-0.00013005968165466508
all_advertising,-0.0001292286122241637
all_centers,-0.00012131948167731776
reiki,-0.00010905525221746037
all_therapy,-0.0001083761001807182
all_clothing,-0.00010789193275561603
all_management,-0.00010552948362773096
financial_advising,-0.00010239455343616366
b2b_furniture_and_housewares,-9.692670614079857e-05
gardener,-9.539107123348045e-05
junk_removal_and_hauling,-9.307672478900408e-05
performing_arts,-9.022133248017261e-05
river,-8.785469194501072e-05
swimming_pool,-8.757426752816211e-05
general_dentistry,-8.626966641592237e-05
retail_lsoa_area_ratio,-8.455731143937606e-05
chocolatier,-8.421797991080004e-05
all_massage,-8.271143238612888e-05
kiosk,-8.261146436314704e-05
all_contractor,-8.178917342159253e-05
accountant,-7.701861166588553e-05
all_architect,-7.368738511531192e-05
mosque,-7.136457456610179e-05
all_arena,-6.898547338154425e-05
lake,-6.887932328134005e-05
all_dentist,-6.775227393929773e-05
caterer,-6.656656432820207e-05
all_planning,-6.537035425515647e-05
all_temple,-6.475978292291851e-05
orthopedist,-5.883049347878422e-05
airport_terminal,-5.841927010671322e-05
housing_authorities,-5.7366557912896796e-05
all_stadium,-5.705058330140456e-05
telecommunications,-5.698665522564372e-05
all_entertainment,-5.667687169099711e-05
all_food,-5.442072340451909e-05
currency_exchange,-5.194726761154622e-05
all_church,-5.068201751618484e-05
all_business,-5.057233437456565e-05
all_remodeling,-5.016501000808527e-05
all_agent,-4.739928379913216e-05
distillery,-4.3064310215967795e-05
railroad_freight,-4.190352517843832e-05
all_classes,-4.1624678140700366e-05
television_service_providers,-3.737155820708882e-05
eat_and_drink,-3.4745069370345494e-05
all_course,-3.447013899752216e-05
plumbing,-3.374869972578298e-05
all_installation,-3.155883510954083e-05
all_care,-3.028434761569443e-05
podiatrist,-3.016706013925785e-05
home_developer,-2.801100925630684e-05
motor_freight_trucking,-2.7483708007947084e-05
lawyer,-2.62424102301817e-05
metal_fabricator,-2.5563445444659605e-05
sewing_and_alterations,-2.4609972187716877e-05
parking,-2.3090834894901048e-05
all_companies,-2.306290186515625e-05
bakery,-2.2831461321060066e-05
nurse_practitioner,-2.1348827728662202e-05
theatrical_productions,-2.0857707697852225e-05
all_gardening,-1.7380683699041998e-05
all_photography,-1.556912597338589e-05
occupational_safety,-1.5490052715638748e-05
all_room,-1.479927975265305e-05
aquarium,-1.4109677165946577e-05
shopping,-1.40077882008538e-05
trusts,-1.3930537323264547e-05
auto_manufacturers_and_distributors,-1.2353124544900452e-05
energy_equipment_and_solution,-9.6670771271401e-06
all_lounge,-8.180408521463178e-06
all_space,-7.4215035926139535e-06
land_surveying,-7.394997222914812e-06
all_broker,-5.2166667148467735e-06
all_design,-4.62884951618614e-06
all_studio,-4.175077928109117e-06
all_mill,-4.153969649683953e-06
radiologist,-3.436558785097077e-06
all_businesses,-2.754077634797847e-06
opera_and_ballet,-2.740227529174355e-06
all_tours,-2.5114872973963644e-06
supermarket,-1.73791842520421e-06
electronics,-1.4011800185398382e-06
security_systems,-1.0530367359984361e-06
all_supply,-5.154143222330099e-07
hearing_aids,0.0
ice_cream_and_frozen_yoghurt,0.0
all_rink,0.0
all_counselor,0.0
importers,0.0
eyewear_and_optician,0.0
investing,0.0
exporters,0.0
iron_work,0.0
ethical_grocery,0.0
jail_and_prison,0.0
estate_liquidation,0.0
jazz_and_blues,0.0
escape_rooms,0.0
all_testing,0.0
wills_trusts_and_probate,0.0
endodontist,0.0
endocrinologist,0.0
emissions_inspection,0.0
embroidery_and_crochet,0.0
embassy,0.0
all_institute,0.0
all_market,0.0
fertility,0.0
fishmonger,0.0
all_exporter,0.0
hematology,0.0
hair_replacement,0.0
all_removal,0.0
gun_and_ammo,0.0
hiking_trail,0.0
grain_elevators,0.0
all_instructor,0.0
all_track,0.0
