feature,mean_importance
all_contractor,-0.0029181036111496474
carpenter,-0.0019545817402784826
all_lsoa_area_ratio,-0.001522805370569691
all_church,-0.0013909605239650347
screen_printing_t_shirt_printing,-0.0012587136363304662
all_cleaning,-0.0012530329577735478
barber,-0.001152065362304422
electrician,-0.0010143151636477388
cinema,-0.001005021220214597
sign_making,-0.0009650009650444935
all_landscaping,-0.0008901139467809793
all_course,-0.0007429280966187779
all_instruction,-0.0007306113214897824
accountant,-0.000700382492201812
all_contractors,-0.000691329624114434
all_shelter,-0.0006650118562939511
all_court,-0.0006614483862942388
performing_arts,-0.0006269678982424809
mosque,-0.0006264614447196281
all_room,-0.0006185742943482953
all_training,-0.0005950195996459295
b2b_furniture_and_housewares,-0.0005723725703353222
wildlife_sanctuary,-0.000564759730317932
boutique,-0.0005641622228612197
bakery,-0.000557851763518058
all_loans,-0.0005105436538015873
funeral_services_and_cemeteries,-0.0005072386670992967
security_systems,-0.0004925718054773042
all_plaza,-0.00048101591134459555
reflexology,-0.0004667124779789922
desserts,-0.0004601592632215379
all_photography,-0.0004273326046394854
all_supply,-0.00042546195892712024
all_piercing,-0.0003845680911535365
active_life,-0.0003779905915814008
swimming_pool,-0.000364466742590841
gardener,-0.0003620464434699655
housing_cooperative,-0.00036171941338875024
chimney_sweep,-0.00035949839705876616
television_service_providers,-0.000338404861172914
supermarket,-0.0003348256412335382
all_medicine,-0.00032884584049562847
pet_groomer,-0.0003243301860347492
business_consulting,-0.00030962786502446437
nature_reserve,-0.00030800613565342696
naturopathic_holistic,-0.0002992496628217101
all_clothing,-0.0002766900766370428
all_market,-0.00027506897341443847
painting,-0.0002703029411512792
plasterer,-0.00025783823773748436
chiropractor,-0.0002479730049699813
auto_detailing,-0.00024163924175265583
aquarium,-0.00023070626168298914
all_classes,-0.00022313982929363929
christmas_trees,-0.0002137575096978206
currency_exchange,-0.0002129342419329605
mountain,-0.00021102845570338812
all_exporter,-0.00020686231637309093
marina,-0.00019707700172792996
notary_public,-0.000187090561352532
all_temple,-0.00017836902448357118
business_signage,-0.00017507970518820803
all_manufacturers,-0.00017138086336436763
lodge,-0.0001658920373107553
all_billiards,-0.00015730992030338342
residential_lsoa_area_ratio,-0.0001521581963128349
horse_riding,-0.00015043236167412434
occupational_safety,-0.0001419840120687521
all_trainer,-0.0001346572792984002
public_service_and_government,-0.00013181536228489276
teeth_whitening,-0.00013168154533292896
astrologer,-0.00013151784398518496
all_vehicles,-0.00012879727193596536
all_washing,-0.00012188581748684424
bridge,-0.00012167980908996955
all_businesses,-0.00012047766836345008
all_lounge,-0.00011941298975378655
embroidery_and_crochet,-0.00011748100645433412
psychotherapist,-0.00011615618627216495
hearing_aids,-0.0001149290394377278
choir,-0.00011277532089257747
all_wear,-0.00011176848327602019
waxing,-0.00010872032234071627
laboratory,-0.00010823418946482865
opera_and_ballet,-0.00010075358644263676
acupuncture,-0.00010005643609123371
all_field,-9.859323245617891e-05
roofing,-9.741234800859644e-05
architecture,-9.686922585743219e-05
land_surveying,-9.68465892777326e-05
structure_and_geography,-9.448816201641508e-05
all_brokers,-9.160760401747404e-05
jail_and_prison,-9.15313442383936e-05
cave,-8.474406965843783e-05
rock_climbing_spot,-8.205861432455385e-05
all_rink,-7.889446476599948e-05
hematology,-7.773233807806257e-05
audiologist,-7.740658982737791e-05
all_range,-7.496450291215595e-05
num_buildings,-7.277300048633695e-05
pets,-7.174125350049022e-05
skilled_nursing,-6.988269447048002e-05
casino,-6.965195990041862e-05
all_consultants,-6.367678315465364e-05
superstore,-6.0697461241798754e-05
all_camp,-6.0165081262986145e-05
public_relations,-5.722571935596887e-05
escape_rooms,-5.6595581201435154e-05
all_counselor,-5.514879637884551e-05
private_jet_charters,-5.3379989053314866e-05
all_wholesaler,-5.254306400099828e-05
housing_authorities,-4.785827809860033e-05
furniture_assembly,-4.761332543793406e-05
psychic_medium,-4.329815647191593e-05
airport,-4.2070793234649795e-05
laser_eye_surgery_lasik,-3.868213968024614e-05
emissions_inspection,-3.509902735353565e-05
aromatherapy,-3.0143970240781305e-05
paint_your_own_pottery,-2.792531240672913e-05
b2b_apparel,-2.683566147759775e-05
studio_taping,-2.6366886193718297e-05
hot_tubs_and_pools,-2.403163516008222e-05
b2b_jewelers,-2.3936009522962377e-05
books_mags_music_and_video,-2.3787823953314026e-05
endocrinologist,-2.363770180383584e-05
cafetaria,-2.315516322852762e-05
laundromat,-2.2014614294540992e-05
waterproofing,-2.1826719075224153e-05
data_recovery,-2.1457260682000713e-05
grain_elevators,-2.1074743303528542e-05
commercial_refrigeration,-2.056034563939768e-05
patio_covers,-2.000802918896705e-05
estate_liquidation,-1.578904339175624e-05
stone_and_masonry,-1.536174639578114e-05
all_class,-1.392843842934477e-05
all_dealers,-1.2930621889473137e-05
airport_shuttles,-9.02334088289658e-06
rugby_pitch,-5.8004304488767925e-06
dietitian,-1.817011802918156e-06
motor_freight_trucking,-1.0721283833725615e-06
private_equity_firm,-8.387492985817425e-07
personal_assistant,-8.185876083310894e-07
hair_extensions,-2.0159270065489564e-07
all_total_area,-3.7286289611415667e-10
office_total_area,-3.374919788079467e-10
retail_total_area,-1.6840021599406896e-10
retail_avg_building_area,-7.929801260075919e-11
commercial_total_area,-5.355932364281557e-11
all_avg_building_area,-4.8666271013075856e-11
endodontist,0.0
abuse_and_addiction_treatment,0.0
pediatrician,0.0
lottery_ticket,0.0
junkyard,0.0
observatory,0.0
oil_refiners,0.0
personal_chef,0.0
test_preparation,0.0
shutters,0.0
importers,0.0
civil_rights_lawyers,0.0
quay,0.0
iron_work,0.0
exporters,0.0
agriculture,0.0
residential_avg_building_area,1.2868872634186346e-11
commercial_avg_building_area,1.734481447357439e-11
office_avg_building_area,4.9598747331458525e-11
residential_total_area,1.4174828644186732e-09
law_enforcement,1.5732926539113733e-06
neurologist,2.9063669483075926e-06
all_accessories,3.438859645754633e-06
wholesale_grocer,3.7789831805246087e-06
all_removal,5.566763385156381e-06
spray_tanning,6.980499144915165e-06
iron_and_steel_industry,8.060520528141434e-06
cricket_ground,8.098677025525358e-06
planetarium,8.431967939470652e-06
