feature,mean_importance
all_restaurant,-0.00014837567014164277
all_salon,-0.00011156367982598781
all_dealer,-0.00010621473643244173
armed_forces_branch,-0.0001055511089634975
all_department,-9.135329531088088e-05
all_surgeon,-6.798734257390526e-05
num_buildings,-5.692139497415205e-05
pharmacy,-5.193330372684768e-05
lodge,-3.677289033592324e-05
plumbing,-3.145762677250197e-05
banks,-3.054000047383321e-05
nutritionist,-2.3863410664592967e-05
all_park,-2.266471409048121e-05
laundromat,-1.6900918222018112e-05
b2b_furniture_and_housewares,-1.514024057442942e-05
all_bookstore,-1.501339122140788e-05
hostel,-1.3282825261251574e-05
spas,-1.257486184080836e-05
all_club,-1.2142476358167897e-05
doctor,-5.072150387586127e-06
all_facility,-4.9608668229228495e-06
reiki,-4.869992671618917e-06
kids_recreation_and_party,-3.587130699811425e-06
all_advertising,-2.7312135303714235e-06
all_entertainment,-7.838259955317284e-07
all_centers,-3.056856574201738e-07
motor_freight_trucking,-2.2204460492503132e-17
all_therapist,-2.2204460492503132e-17
river,-1.1102230246251566e-17
hair_replacement,-1.1102230246251566e-17
computer_coaching,-1.1102230246251566e-17
all_artist,-1.1102230246251566e-17
hematology,-1.1102230246251566e-17
all_wear,-1.1102230246251566e-17
palace,-1.1102230246251566e-17
all_provider,-1.1102230246251566e-17
marina,-1.1102230246251566e-17
all_piercing,-1.1102230246251566e-17
chemical_plant,-1.1102230246251566e-17
business_signage,-1.1102230246251566e-17
b2b_rubber_and_plastics,-1.1102230246251566e-17
karaoke,-1.1102230246251566e-17
pediatrician,-1.1102230246251566e-17
all_cafe,-1.1102230246251566e-17
library,-1.1102230246251566e-17
kitchen_and_bath,-1.1102230246251566e-17
law_enforcement,-1.1102230246251566e-17
psychotherapist,-1.1102230246251566e-17
astrologer,-1.1102230246251566e-17
residential_total_area,-1.1102230246251566e-17
fertility,-1.1102230246251566e-17
swimming_pool,-1.1102230246251566e-17
waxing,-1.1102230246251566e-17
all_avg_building_area,-1.1102230246251566e-17
spray_tanning,-1.1102230246251566e-17
superstore,-1.1102230246251566e-17
furniture_reupholstery,-1.1102230246251566e-17
all_vehicles,-1.1102230246251566e-17
delicatessen,-1.1102230246251566e-17
all_food,0.0
lake,0.0
land_surveying,0.0
all_exporter,0.0
food_stand,0.0
laboratory,0.0
all_course,0.0
fountain,0.0
food_truck,0.0
laser_eye_surgery_lasik,0.0
all_foods,0.0
key_and_locksmith,0.0
fruits_and_vegetables,0.0
junkyard,0.0
junk_removal_and_hauling,0.0
jazz_and_blues,0.0
kiosk,0.0
all_florist,0.0
firework_retailer,0.0
all_goods,0.0
all_counselor,0.0
family_practice,0.0
mediator,0.0
media_news_website,0.0
matchmaker,0.0
all_therapy,0.0
all_media,0.0
masonry_concrete,0.0
all_contractors,0.0
all_market,0.0
marble_and_granite_professionals,0.0
magician,0.0
luggage_storage,0.0
lottery_ticket,0.0
financial_advising,0.0
linen,0.0
funeral_services_and_cemeteries,0.0
fishmonger,0.0
fashion,0.0
jail_and_prison,0.0
all_manufacturers,0.0
furniture_assembly,0.0
gastroenterologist,0.0
all_companies,0.0
hiking_trail,0.0
gastropub,0.0
gelato,0.0
hearing_aids,0.0
genealogists,0.0
all_coach,0.0
general_dentistry,0.0
health_and_medical,0.0
handyman,0.0
hair_stylist,0.0
general_festivals,0.0
general_litigation,0.0
all_removal,0.0
hair_extensions,0.0
gun_and_ammo,0.0
grain_elevators,0.0
all_instructor,0.0
metal_fabricator,0.0
iron_work,0.0
all_decor,0.0
gardener,0.0
iron_and_steel_industry,0.0
all_track,0.0
furniture_wholesalers,0.0
investing,0.0
all_landscaping,0.0
importers,0.0
all_rink,0.0
ice_cream_and_frozen_yoghurt,0.0
hypnosis_hypnotherapy,0.0
all_gardening,0.0
housing_cooperative,0.0
housing_authorities,0.0
all_sitting,0.0
hot_tubs_and_pools,0.0
all_publisher,0.0
hospice,0.0
horse_riding,0.0
all_boarding,0.0
home_developer,0.0
home_automation,0.0
all_metals,0.0
obstetrician_and_gynecologist,0.0
mortgage_lender,0.0
steakhouse,0.0
speakeasy,0.0
skilled_nursing,0.0
sign_making,0.0
shutters,0.0
shopping,0.0
shades_and_blinds,0.0
sewing_and_alterations,0.0
security_systems,0.0
sculpture_statue,0.0
all_instruction,0.0
steel_fabricators,0.0
screen_printing_t_shirt_printing,0.0
roofing,0.0
rock_climbing_spot,0.0
retail,0.0
